,X0,A9,A10,A11,A12,B1
"arhgap1",0,0,1,1,0,
"atcay",0,1,1,0,0,
"bpifb2",0,1,1,0,0,
"c8g",0,0,1,1,1,0
"clvs1",0,0,1,1,1,
"clvs2",0,0,1,1,1,
"crabp1",0,0,0,1,1,
"crabp2",0,0,,1,1,
"fabp1",0,0,0,1,1,
"fabp2",0,0,0,1,1,
"fabp3",0,0,0,1,1,
"fabp4",0,0,0,1,1,
"fabp5",0,0,0,1,1,
"fabp6",0,0,0,,1,
"fabp7",0,0,0,1,1,0
"fapp2",0,1,1,0,0,0
"gltp",0,0,0,1,1,1
"gm2a",0,0,0,1,1,0
"hsdl2",0,0,1,1,0,0
"LCN1",0,0,0,1,1,
"lcn1",0,0,0,1,1,
"lcn15",0,0,0,1,1,0
"obp2a",0,0,0,1,1,
"orm2",0,0,0,1,1,
"orp2",0,0,1,1,0,
"pmp2",0,0,0,1,1,
"ptgds",0,0,0,1,1,0
"ptpn9",0,0,1,1,0,
"rbp1",0,0,0,1,1,0
"rbp2",0,0,0,1,1,
"rbp4",0,0,0,1,1,0
"rbp5",0,0,0,1,1,1
"rbp7",0,0,0,1,1,1
"rlbp1",0,0,1,1,1,
"scp2",0,1,1,1,0,0
"sec14l1",0,1,0,0,0,
"Sec14l1",0,1,0,0,0,
"sec14l2",0,0,1,1,0,
"sec14l4",0,0,1,1,0,0
"sec14l5",0,1,1,0,0,
"SEC14L5",0,1,1,0,0,
"sec14l6",0,1,0,0,0,
"Sec14L6",0,1,0,0,0,
"solo",0,1,0,0,0,
"stard10",0,0,1,1,0,
"stard11",0,1,0,0,0,
"stard2",0,0,0,1,1,
"stard5",0,0,0,1,1,
"ttpa",0,0,1,1,0,
"ttpal",0,0,1,1,0,
"arhgap8",0,0,1,1,0,0
"bnip2",0,0,0,0,1,
"bnipl",0,1,0,0,0,
"BNIPL",0,1,0,0,0,
"bpi",0,0,1,1,0,
"gltpd1",0,0,0,1,1,0
"orm1",0,0,1,1,0,0
"orp4",0,1,0,0,0,
"orp9",0,1,1,0,0,0
"osbp",0,1,0,0,0,
"pitpna",0,0,0,1,1,0
"orp1",0,1,0,0,0,
"pitpnb",0,0,0,1,1,0
"stard14",0,1,0,0,0,
"stard15",0,1,0,0,0,
