protein	mode	mzo	mz	i	fr	fe
STARD10	neg	804.57010000	804.5797	235000.0	X0	F15065
STARD10	neg	804.57010000	804.5797	110000.0	C4	F15066
STARD10	neg	804.57010000	804.5797	0.0	C5	F15066
STARD10	neg	804.57010000	804.5797	0.0	C6	F15066
STARD10	neg	804.57010000	804.5797	0.0	C7	F15066
STARD10	neg	804.57010000	804.5797	0.0	C8	F15066
STARD10	neg	804.57010000	804.5797	0.0	C9	F15066
STARD10	neg	804.57010000	804.5797	0.0	C10	F15066
STARD10	neg	804.57010000	804.5797	0.0	C11	F15066
STARD10	neg	804.57010000	804.5797	0.0	C12	F15066
STARD10	neg	804.57010000	804.5797	0.0	X0	F15066
STARD10	neg	748.52310000	748.5294	0.0	C4	F14012
STARD10	neg	748.52310000	748.5294	0.0	C5	F14012
STARD10	neg	748.52310000	748.5294	6490.0	C6	F14012
STARD10	neg	748.52310000	748.5294	38700.0	C7	F14012
STARD10	neg	748.52310000	748.5294	47600.0	C8	F14012
STARD10	neg	748.52310000	748.5294	13400.0	C9	F14012
STARD10	neg	748.52310000	748.5294	1390.0	C10	F14012
STARD10	neg	748.52310000	748.5294	0.0	C11	F14012
STARD10	neg	748.52310000	748.5294	0.0	C12	F14012
STARD10	neg	748.52310000	748.5294	0.0	X0	F14012
STARD10	pos	786.59870000	786.6003	3370000.0	C4	F12347
STARD10	pos	786.59870000	786.6003	1180000.0	C5	F12347
STARD10	pos	786.59870000	786.6003	9380000.0	C6	F12347
STARD10	pos	786.59870000	786.6003	43200000.0	C7	F12347
STARD10	pos	786.59870000	786.6003	55300000.0	C8	F12347
STARD10	pos	786.59870000	786.6003	24500000.0	C9	F12347
STARD10	pos	786.59870000	786.6003	1900000.0	C10	F12347
STARD10	pos	786.59870000	786.6003	332000.0	C11	F12347
STARD10	pos	786.59870000	786.6003	210000.0	C12	F12347
STARD10	pos	786.59870000	786.6003	397000.0	X0	F12347
STARD10	pos	786.59870000	786.5939	33600.0	C4	F12346
STARD10	pos	786.59870000	786.5939	44100.0	C5	F12346
STARD10	pos	786.59870000	786.5939	32800.0	C6	F12346
STARD10	pos	786.59870000	786.5939	27300.0	C7	F12346
STARD10	pos	786.59870000	786.5939	22200.0	C8	F12346
STARD10	pos	786.59870000	786.5939	23000.0	C9	F12346
STARD10	pos	786.59870000	786.5939	33900.0	C10	F12346
STARD10	pos	786.59870000	786.5939	31900.0	C11	F12346
STARD10	pos	786.59870000	786.5939	28800.0	C12	F12346
STARD10	pos	786.59870000	786.5939	15900.0	X0	F12346
STARD10	pos	758.56740000	758.5691	91400.0	C4	F11689
STARD10	pos	758.56740000	758.5691	181000.0	C5	F11689
STARD10	pos	758.56740000	758.5691	1150000.0	C6	F11689
STARD10	pos	758.56740000	758.5691	4580000.0	C7	F11689
STARD10	pos	758.56740000	758.5691	5630000.0	C8	F11689
STARD10	pos	758.56740000	758.5691	2710000.0	C9	F11689
STARD10	pos	758.56740000	758.5691	304000.0	C10	F11689
STARD10	pos	758.56740000	758.5691	51100.0	C11	F11689
STARD10	pos	758.56740000	758.5691	13300.0	C12	F11689
STARD10	pos	758.56740000	758.5691	0.0	X0	F11689
STARD10	pos	758.56740000	758.5707	61600.0	C4	F11690
STARD10	pos	758.56740000	758.5707	36800.0	C5	F11690
STARD10	pos	758.56740000	758.5707	127000.0	C6	F11690
STARD10	pos	758.56740000	758.5707	501000.0	C7	F11690
STARD10	pos	758.56740000	758.5707	577000.0	C8	F11690
STARD10	pos	758.56740000	758.5707	285000.0	C9	F11690
STARD10	pos	758.56740000	758.5707	42600.0	C10	F11690
STARD10	pos	758.56740000	758.5707	28800.0	C11	F11690
STARD10	pos	758.56740000	758.5707	32200.0	C12	F11690
STARD10	pos	758.56740000	758.5707	23800.0	X0	F11690
STARD10	pos	758.56740000	758.5641	0.0	C4	F11688
STARD10	pos	758.56740000	758.5641	20900.0	C5	F11688
STARD10	pos	758.56740000	758.5641	17500.0	C6	F11688
STARD10	pos	758.56740000	758.5641	0.0	C7	F11688
STARD10	pos	758.56740000	758.5641	0.0	C8	F11688
STARD10	pos	758.56740000	758.5641	0.0	C9	F11688
STARD10	pos	758.56740000	758.5641	27000.0	C10	F11688
STARD10	pos	758.56740000	758.5641	15100.0	C11	F11688
STARD10	pos	758.56740000	758.5641	16300.0	C12	F11688
STARD10	pos	758.56740000	758.5641	11500.0	X0	F11688
STARD10	pos	760.58220000	760.5832	0.0	C4	F11747
STARD10	pos	760.58220000	760.5832	0.0	C5	F11747
STARD10	pos	760.58220000	760.5832	0.0	C6	F11747
STARD10	pos	760.58220000	760.5832	0.0	C7	F11747
STARD10	pos	760.58220000	760.5832	7560.0	C8	F11747
STARD10	pos	760.58220000	760.5832	0.0	C9	F11747
STARD10	pos	760.58220000	760.5832	0.0	C10	F11747
STARD10	pos	760.58220000	760.5832	0.0	C11	F11747
STARD10	pos	760.58220000	760.5832	0.0	C12	F11747
STARD10	pos	760.58220000	760.5832	0.0	X0	F11747
STARD10	pos	760.58220000	760.5846	79500.0	C4	F11748
STARD10	pos	760.58220000	760.5846	65500.0	C5	F11748
STARD10	pos	760.58220000	760.5846	146000.0	C6	F11748
STARD10	pos	760.58220000	760.5846	409000.0	C7	F11748
STARD10	pos	760.58220000	760.5846	nan	C8	F11748
STARD10	pos	760.58220000	760.5846	268000.0	C9	F11748
STARD10	pos	760.58220000	760.5846	55400.0	C10	F11748
STARD10	pos	760.58220000	760.5846	46300.0	C11	F11748
STARD10	pos	760.58220000	760.5846	66100.0	C12	F11748
STARD10	pos	760.58220000	760.5846	62800.0	X0	F11748
STARD10	pos	760.58220000	760.5781	0.0	C4	F11746
STARD10	pos	760.58220000	760.5781	0.0	C5	F11746
STARD10	pos	760.58220000	760.5781	96100.0	C6	F11746
STARD10	pos	760.58220000	760.5781	171000.0	C7	F11746
STARD10	pos	760.58220000	760.5781	159000.0	C8	F11746
STARD10	pos	760.58220000	760.5781	80700.0	C9	F11746
STARD10	pos	760.58220000	760.5781	0.0	C10	F11746
STARD10	pos	760.58220000	760.5781	0.0	C11	F11746
STARD10	pos	760.58220000	760.5781	0.0	C12	F11746
STARD10	pos	760.58220000	760.5781	0.0	X0	F11746
STARD10	pos	760.58220000	760.5779	0.0	C4	F11745
STARD10	pos	760.58220000	760.5779	0.0	C5	F11745
STARD10	pos	760.58220000	760.5779	96100.0	C6	F11745
STARD10	pos	760.58220000	760.5779	171000.0	C7	F11745
STARD10	pos	760.58220000	760.5779	159000.0	C8	F11745
STARD10	pos	760.58220000	760.5779	80700.0	C9	F11745
STARD10	pos	760.58220000	760.5779	0.0	C10	F11745
STARD10	pos	760.58220000	760.5779	0.0	C11	F11745
STARD10	pos	760.58220000	760.5779	0.0	C12	F11745
STARD10	pos	760.58220000	760.5779	0.0	X0	F11745
STARD10	pos	732.55330000	732.5532	0.0	C4	F10965
STARD10	pos	732.55330000	732.5532	0.0	C5	F10965
STARD10	pos	732.55330000	732.5532	0.0	C6	F10965
STARD10	pos	732.55330000	732.5532	0.0	C7	F10965
STARD10	pos	732.55330000	732.5532	0.0	C8	F10965
STARD10	pos	732.55330000	732.5532	69900.0	C9	F10965
STARD10	pos	732.55330000	732.5532	0.0	C10	F10965
STARD10	pos	732.55330000	732.5532	0.0	C11	F10965
STARD10	pos	732.55330000	732.5532	0.0	C12	F10965
STARD10	pos	732.55330000	732.5532	0.0	X0	F10965
STARD10	pos	732.55330000	732.5509	0.0	C4	F10964
STARD10	pos	732.55330000	732.5509	0.0	C5	F10964
STARD10	pos	732.55330000	732.5509	0.0	C6	F10964
STARD10	pos	732.55330000	732.5509	0.0	C7	F10964
STARD10	pos	732.55330000	732.5509	0.0	C8	F10964
STARD10	pos	732.55330000	732.5509	69900.0	C9	F10964
STARD10	pos	732.55330000	732.5509	0.0	C10	F10964
STARD10	pos	732.55330000	732.5509	0.0	C11	F10964
STARD10	pos	732.55330000	732.5509	0.0	C12	F10964
STARD10	pos	732.55330000	732.5509	0.0	X0	F10964
STARD10	pos	730.53800000	730.5385	446000.0	C4	F10915
STARD10	pos	730.53800000	730.5385	568000.0	C5	F10915
STARD10	pos	730.53800000	730.5385	3420000.0	C6	F10915
STARD10	pos	730.53800000	730.5385	13300000.0	C7	F10915
STARD10	pos	730.53800000	730.5385	15900000.0	C8	F10915
STARD10	pos	730.53800000	730.5385	7860000.0	C9	F10915
STARD10	pos	730.53800000	730.5385	833000.0	C10	F10915
STARD10	pos	730.53800000	730.5385	139000.0	C11	F10915
STARD10	pos	730.53800000	730.5385	83900.0	C12	F10915
STARD10	pos	730.53800000	730.5385	0.0	X0	F10915
STARD10	pos	730.53800000	730.5388	0.0	C4	F10916
STARD10	pos	730.53800000	730.5388	0.0	C5	F10916
STARD10	pos	730.53800000	730.5388	0.0	C6	F10916
STARD10	pos	730.53800000	730.5388	27400.0	C7	F10916
STARD10	pos	730.53800000	730.5388	27900.0	C8	F10916
STARD10	pos	730.53800000	730.5388	0.0	C9	F10916
STARD10	pos	730.53800000	730.5388	0.0	C10	F10916
STARD10	pos	730.53800000	730.5388	0.0	C11	F10916
STARD10	pos	730.53800000	730.5388	0.0	C12	F10916
STARD10	pos	730.53800000	730.5388	0.0	X0	F10916
STARD10	pos	730.53800000	730.5416	0.0	C4	F10917
STARD10	pos	730.53800000	730.5416	0.0	C5	F10917
STARD10	pos	730.53800000	730.5416	0.0	C6	F10917
STARD10	pos	730.53800000	730.5416	16800.0	C7	F10917
STARD10	pos	730.53800000	730.5416	0.0	C8	F10917
STARD10	pos	730.53800000	730.5416	0.0	C9	F10917
STARD10	pos	730.53800000	730.5416	0.0	C10	F10917
STARD10	pos	730.53800000	730.5416	0.0	C11	F10917
STARD10	pos	730.53800000	730.5416	0.0	C12	F10917
STARD10	pos	730.53800000	730.5416	0.0	X0	F10917
STARD10	pos	730.53800000	730.5426	0.0	C4	F10918
STARD10	pos	730.53800000	730.5426	0.0	C5	F10918
STARD10	pos	730.53800000	730.5426	0.0	C6	F10918
STARD10	pos	730.53800000	730.5426	0.0	C7	F10918
STARD10	pos	730.53800000	730.5426	93700.0	C8	F10918
STARD10	pos	730.53800000	730.5426	0.0	C9	F10918
STARD10	pos	730.53800000	730.5426	0.0	C10	F10918
STARD10	pos	730.53800000	730.5426	0.0	C11	F10918
STARD10	pos	730.53800000	730.5426	0.0	C12	F10918
STARD10	pos	730.53800000	730.5426	0.0	X0	F10918
SEC14L2	neg	887.55630000	887.5608	0.0	C5	F16072
SEC14L2	neg	887.55630000	887.5608	154000.0	C6	F16072
SEC14L2	neg	887.55630000	887.5608	0.0	C7	F16072
SEC14L2	neg	887.55630000	887.5608	0.0	C8	F16072
SEC14L2	neg	887.55630000	887.5608	0.0	C9	F16072
SEC14L2	neg	887.55630000	887.5608	0.0	C10	F16072
SEC14L2	neg	887.55630000	887.5608	0.0	C11	F16072
SEC14L2	neg	887.55630000	887.5608	0.0	C12	F16072
SEC14L2	neg	887.55630000	887.5608	0.0	X0	F16072
SEC14L2	neg	887.55630000	887.5518	0.0	C5	F16071
SEC14L2	neg	887.55630000	887.5518	0.0	C6	F16071
SEC14L2	neg	887.55630000	887.5518	0.0	C7	F16071
SEC14L2	neg	887.55630000	887.5518	0.0	C8	F16071
SEC14L2	neg	887.55630000	887.5518	1230.0	C9	F16071
SEC14L2	neg	887.55630000	887.5518	0.0	C10	F16071
SEC14L2	neg	887.55630000	887.5518	0.0	C11	F16071
SEC14L2	neg	887.55630000	887.5518	0.0	C12	F16071
SEC14L2	neg	887.55630000	887.5518	0.0	X0	F16071
SEC14L2	neg	883.52560000	883.5362	0.0	C5	F16037
SEC14L2	neg	883.52560000	883.5362	0.0	C6	F16037
SEC14L2	neg	883.52560000	883.5362	0.0	C7	F16037
SEC14L2	neg	883.52560000	883.5362	0.0	C8	F16037
SEC14L2	neg	883.52560000	883.5362	1380.0	C9	F16037
SEC14L2	neg	883.52560000	883.5362	495.0	C10	F16037
SEC14L2	neg	883.52560000	883.5362	0.0	C11	F16037
SEC14L2	neg	883.52560000	883.5362	0.0	C12	F16037
SEC14L2	neg	883.52560000	883.5362	0.0	X0	F16037
SEC14L2	neg	863.55670000	863.5695	0.0	C5	F15872
SEC14L2	neg	863.55670000	863.5695	0.0	C6	F15872
SEC14L2	neg	863.55670000	863.5695	0.0	C7	F15872
SEC14L2	neg	863.55670000	863.5695	0.0	C8	F15872
SEC14L2	neg	863.55670000	863.5695	502.0	C9	F15872
SEC14L2	neg	863.55670000	863.5695	0.0	C10	F15872
SEC14L2	neg	863.55670000	863.5695	0.0	C11	F15872
SEC14L2	neg	863.55670000	863.5695	0.0	C12	F15872
SEC14L2	neg	863.55670000	863.5695	0.0	X0	F15872
SEC14L2	neg	863.55670000	863.546	0.0	C5	F15871
SEC14L2	neg	863.55670000	863.546	0.0	C6	F15871
SEC14L2	neg	863.55670000	863.546	196.0	C7	F15871
SEC14L2	neg	863.55670000	863.546	0.0	C8	F15871
SEC14L2	neg	863.55670000	863.546	0.0	C9	F15871
SEC14L2	neg	863.55670000	863.546	0.0	C10	F15871
SEC14L2	neg	863.55670000	863.546	0.0	C11	F15871
SEC14L2	neg	863.55670000	863.546	0.0	C12	F15871
SEC14L2	neg	863.55670000	863.546	0.0	X0	F15871
SEC14L2	pos	904.58900000	904.5915	0.0	C5	F12712
SEC14L2	pos	904.58900000	904.5915	0.0	C6	F12712
SEC14L2	pos	904.58900000	904.5915	4200.0	C7	F12712
SEC14L2	pos	904.58900000	904.5915	17700.0	C8	F12712
SEC14L2	pos	904.58900000	904.5915	0.0	C9	F12712
SEC14L2	pos	904.58900000	904.5915	13800.0	C10	F12712
SEC14L2	pos	904.58900000	904.5915	0.0	C11	F12712
SEC14L2	pos	904.58900000	904.5915	0.0	C12	F12712
SEC14L2	pos	904.58900000	904.5915	5000.0	X0	F12712
PITPNA	pos	746.57890000	746.5681	5750.0	A5	F7357
PITPNA	pos	746.57890000	746.5681	8250.0	A6	F7357
PITPNA	pos	746.57890000	746.5681	14700.0	A7	F7357
PITPNA	pos	746.57890000	746.5681	19600.0	A8	F7357
PITPNA	pos	746.57890000	746.5681	40800.0	A9	F7357
PITPNA	pos	746.57890000	746.5681	58500.0	A10	F7357
PITPNA	pos	746.57890000	746.5681	66000.0	A11	F7357
PITPNA	pos	746.57890000	746.5681	13200.0	A12	F7357
PITPNA	pos	746.57890000	746.5681	0.0	B1	F7357
PITPNA	pos	746.57890000	746.5681	0.0	X0	F7357
PITPNA	pos	746.57890000	746.568	5750.0	A5	F7356
PITPNA	pos	746.57890000	746.568	8250.0	A6	F7356
PITPNA	pos	746.57890000	746.568	14700.0	A7	F7356
PITPNA	pos	746.57890000	746.568	19600.0	A8	F7356
PITPNA	pos	746.57890000	746.568	40800.0	A9	F7356
PITPNA	pos	746.57890000	746.568	58500.0	A10	F7356
PITPNA	pos	746.57890000	746.568	66000.0	A11	F7356
PITPNA	pos	746.57890000	746.568	13200.0	A12	F7356
PITPNA	pos	746.57890000	746.568	0.0	B1	F7356
PITPNA	pos	746.57890000	746.568	0.0	X0	F7356
PITPNA	pos	746.57890000	746.5674	5750.0	A5	F7355
PITPNA	pos	746.57890000	746.5674	8250.0	A6	F7355
PITPNA	pos	746.57890000	746.5674	14700.0	A7	F7355
PITPNA	pos	746.57890000	746.5674	19600.0	A8	F7355
PITPNA	pos	746.57890000	746.5674	40800.0	A9	F7355
PITPNA	pos	746.57890000	746.5674	58500.0	A10	F7355
PITPNA	pos	746.57890000	746.5674	66000.0	A11	F7355
PITPNA	pos	746.57890000	746.5674	13200.0	A12	F7355
PITPNA	pos	746.57890000	746.5674	0.0	B1	F7355
PITPNA	pos	746.57890000	746.5674	0.0	X0	F7355
PITPNA	pos	746.57890000	746.5626	5750.0	A5	F7354
PITPNA	pos	746.57890000	746.5626	8250.0	A6	F7354
PITPNA	pos	746.57890000	746.5626	14700.0	A7	F7354
PITPNA	pos	746.57890000	746.5626	19600.0	A8	F7354
PITPNA	pos	746.57890000	746.5626	40800.0	A9	F7354
PITPNA	pos	746.57890000	746.5626	58500.0	A10	F7354
PITPNA	pos	746.57890000	746.5626	66000.0	A11	F7354
PITPNA	pos	746.57890000	746.5626	13200.0	A12	F7354
PITPNA	pos	746.57890000	746.5626	0.0	B1	F7354
PITPNA	pos	746.57890000	746.5626	0.0	X0	F7354
PITPNA	pos	746.57890000	746.5624	5750.0	A5	F7353
PITPNA	pos	746.57890000	746.5624	8250.0	A6	F7353
PITPNA	pos	746.57890000	746.5624	14700.0	A7	F7353
PITPNA	pos	746.57890000	746.5624	19600.0	A8	F7353
PITPNA	pos	746.57890000	746.5624	40800.0	A9	F7353
PITPNA	pos	746.57890000	746.5624	58500.0	A10	F7353
PITPNA	pos	746.57890000	746.5624	66000.0	A11	F7353
PITPNA	pos	746.57890000	746.5624	13200.0	A12	F7353
PITPNA	pos	746.57890000	746.5624	0.0	B1	F7353
PITPNA	pos	746.57890000	746.5624	0.0	X0	F7353
PITPNA	pos	746.57890000	746.5619	5750.0	A5	F7352
PITPNA	pos	746.57890000	746.5619	8250.0	A6	F7352
PITPNA	pos	746.57890000	746.5619	14700.0	A7	F7352
PITPNA	pos	746.57890000	746.5619	19600.0	A8	F7352
PITPNA	pos	746.57890000	746.5619	40800.0	A9	F7352
PITPNA	pos	746.57890000	746.5619	58500.0	A10	F7352
PITPNA	pos	746.57890000	746.5619	66000.0	A11	F7352
PITPNA	pos	746.57890000	746.5619	13200.0	A12	F7352
PITPNA	pos	746.57890000	746.5619	0.0	B1	F7352
PITPNA	pos	746.57890000	746.5619	0.0	X0	F7352
PITPNA	pos	746.57890000	746.5619	5750.0	A5	F7351
PITPNA	pos	746.57890000	746.5619	8250.0	A6	F7351
PITPNA	pos	746.57890000	746.5619	14700.0	A7	F7351
PITPNA	pos	746.57890000	746.5619	19600.0	A8	F7351
PITPNA	pos	746.57890000	746.5619	40800.0	A9	F7351
PITPNA	pos	746.57890000	746.5619	58500.0	A10	F7351
PITPNA	pos	746.57890000	746.5619	66000.0	A11	F7351
PITPNA	pos	746.57890000	746.5619	13200.0	A12	F7351
PITPNA	pos	746.57890000	746.5619	0.0	B1	F7351
PITPNA	pos	746.57890000	746.5619	0.0	X0	F7351
PITPNA	pos	746.57890000	746.5617	5750.0	A5	F7350
PITPNA	pos	746.57890000	746.5617	8250.0	A6	F7350
PITPNA	pos	746.57890000	746.5617	14700.0	A7	F7350
PITPNA	pos	746.57890000	746.5617	19600.0	A8	F7350
PITPNA	pos	746.57890000	746.5617	40800.0	A9	F7350
PITPNA	pos	746.57890000	746.5617	58500.0	A10	F7350
PITPNA	pos	746.57890000	746.5617	66000.0	A11	F7350
PITPNA	pos	746.57890000	746.5617	13200.0	A12	F7350
PITPNA	pos	746.57890000	746.5617	0.0	B1	F7350
PITPNA	pos	746.57890000	746.5617	0.0	X0	F7350
PITPNA	pos	746.57890000	746.5606	5750.0	A5	F7349
PITPNA	pos	746.57890000	746.5606	8250.0	A6	F7349
PITPNA	pos	746.57890000	746.5606	14700.0	A7	F7349
PITPNA	pos	746.57890000	746.5606	19600.0	A8	F7349
PITPNA	pos	746.57890000	746.5606	40800.0	A9	F7349
PITPNA	pos	746.57890000	746.5606	58500.0	A10	F7349
PITPNA	pos	746.57890000	746.5606	66000.0	A11	F7349
PITPNA	pos	746.57890000	746.5606	13200.0	A12	F7349
PITPNA	pos	746.57890000	746.5606	0.0	B1	F7349
PITPNA	pos	746.57890000	746.5606	0.0	X0	F7349
PITPNA	pos	746.57890000	746.5605	5750.0	A5	F7348
PITPNA	pos	746.57890000	746.5605	8250.0	A6	F7348
PITPNA	pos	746.57890000	746.5605	14700.0	A7	F7348
PITPNA	pos	746.57890000	746.5605	19600.0	A8	F7348
PITPNA	pos	746.57890000	746.5605	40800.0	A9	F7348
PITPNA	pos	746.57890000	746.5605	58500.0	A10	F7348
PITPNA	pos	746.57890000	746.5605	66000.0	A11	F7348
PITPNA	pos	746.57890000	746.5605	13200.0	A12	F7348
PITPNA	pos	746.57890000	746.5605	0.0	B1	F7348
PITPNA	pos	746.57890000	746.5605	0.0	X0	F7348
PITPNA	pos	704.53210000	704.5212	67800.0	A5	F6489
PITPNA	pos	704.53210000	704.5212	60500.0	A6	F6489
PITPNA	pos	704.53210000	704.5212	105000.0	A7	F6489
PITPNA	pos	704.53210000	704.5212	86800.0	A8	F6489
PITPNA	pos	704.53210000	704.5212	45400.0	A9	F6489
PITPNA	pos	704.53210000	704.5212	0.0	A10	F6489
PITPNA	pos	704.53210000	704.5212	7790.0	A11	F6489
PITPNA	pos	704.53210000	704.5212	0.0	A12	F6489
PITPNA	pos	704.53210000	704.5212	0.0	B1	F6489
PITPNA	pos	704.53210000	704.5212	0.0	X0	F6489
PITPNA	pos	704.53210000	704.5205	67800.0	A5	F6488
PITPNA	pos	704.53210000	704.5205	60500.0	A6	F6488
PITPNA	pos	704.53210000	704.5205	105000.0	A7	F6488
PITPNA	pos	704.53210000	704.5205	86800.0	A8	F6488
PITPNA	pos	704.53210000	704.5205	45400.0	A9	F6488
PITPNA	pos	704.53210000	704.5205	0.0	A10	F6488
PITPNA	pos	704.53210000	704.5205	7790.0	A11	F6488
PITPNA	pos	704.53210000	704.5205	0.0	A12	F6488
PITPNA	pos	704.53210000	704.5205	0.0	B1	F6488
PITPNA	pos	704.53210000	704.5205	0.0	X0	F6488
PITPNA	pos	704.53210000	704.5189	67800.0	A5	F6487
PITPNA	pos	704.53210000	704.5189	60500.0	A6	F6487
PITPNA	pos	704.53210000	704.5189	105000.0	A7	F6487
PITPNA	pos	704.53210000	704.5189	86800.0	A8	F6487
PITPNA	pos	704.53210000	704.5189	45400.0	A9	F6487
PITPNA	pos	704.53210000	704.5189	0.0	A10	F6487
PITPNA	pos	704.53210000	704.5189	7790.0	A11	F6487
PITPNA	pos	704.53210000	704.5189	0.0	A12	F6487
PITPNA	pos	704.53210000	704.5189	0.0	B1	F6487
PITPNA	pos	704.53210000	704.5189	0.0	X0	F6487
PITPNA	pos	704.53210000	704.5153	67800.0	A5	F6486
PITPNA	pos	704.53210000	704.5153	60500.0	A6	F6486
PITPNA	pos	704.53210000	704.5153	105000.0	A7	F6486
PITPNA	pos	704.53210000	704.5153	86800.0	A8	F6486
PITPNA	pos	704.53210000	704.5153	45400.0	A9	F6486
PITPNA	pos	704.53210000	704.5153	0.0	A10	F6486
PITPNA	pos	704.53210000	704.5153	7790.0	A11	F6486
PITPNA	pos	704.53210000	704.5153	0.0	A12	F6486
PITPNA	pos	704.53210000	704.5153	0.0	B1	F6486
PITPNA	pos	704.53210000	704.5153	0.0	X0	F6486
PITPNA	pos	704.53210000	704.5146	67800.0	A5	F6485
PITPNA	pos	704.53210000	704.5146	60500.0	A6	F6485
PITPNA	pos	704.53210000	704.5146	105000.0	A7	F6485
PITPNA	pos	704.53210000	704.5146	86800.0	A8	F6485
PITPNA	pos	704.53210000	704.5146	45400.0	A9	F6485
PITPNA	pos	704.53210000	704.5146	0.0	A10	F6485
PITPNA	pos	704.53210000	704.5146	7790.0	A11	F6485
PITPNA	pos	704.53210000	704.5146	0.0	A12	F6485
PITPNA	pos	704.53210000	704.5146	0.0	B1	F6485
PITPNA	pos	704.53210000	704.5146	0.0	X0	F6485
PITPNB	pos	732.56320000	732.5545	6610.0	G5	F6896
PITPNB	pos	732.56320000	732.5545	0.0	G6	F6896
PITPNB	pos	732.56320000	732.5545	0.0	G7	F6896
PITPNB	pos	732.56320000	732.5545	0.0	G8	F6896
PITPNB	pos	732.56320000	732.5545	0.0	G9	F6896
PITPNB	pos	732.56320000	732.5545	8260.0	G10	F6896
PITPNB	pos	732.56320000	732.5545	0.0	G11	F6896
PITPNB	pos	732.56320000	732.5545	7860.0	G12	F6896
PITPNB	pos	732.56320000	732.5545	0.0	X0	F6896
PITPNB	pos	732.56320000	732.5535	6610.0	G5	F6895
PITPNB	pos	732.56320000	732.5535	0.0	G6	F6895
PITPNB	pos	732.56320000	732.5535	0.0	G7	F6895
PITPNB	pos	732.56320000	732.5535	0.0	G8	F6895
PITPNB	pos	732.56320000	732.5535	0.0	G9	F6895
PITPNB	pos	732.56320000	732.5535	8260.0	G10	F6895
PITPNB	pos	732.56320000	732.5535	0.0	G11	F6895
PITPNB	pos	732.56320000	732.5535	7860.0	G12	F6895
PITPNB	pos	732.56320000	732.5535	0.0	X0	F6895
PITPNB	pos	760.59380000	760.5926	0.0	G5	F7444
PITPNB	pos	760.59380000	760.5926	0.0	G6	F7444
PITPNB	pos	760.59380000	760.5926	0.0	G7	F7444
PITPNB	pos	760.59380000	760.5926	0.0	G8	F7444
PITPNB	pos	760.59380000	760.5926	338000.0	G9	F7444
PITPNB	pos	760.59380000	760.5926	0.0	G10	F7444
PITPNB	pos	760.59380000	760.5926	0.0	G11	F7444
PITPNB	pos	760.59380000	760.5926	0.0	G12	F7444
PITPNB	pos	760.59380000	760.5926	0.0	X0	F7444
PITPNB	pos	544.46810000	544.4576	27700.0	G5	F2910
PITPNB	pos	544.46810000	544.4576	24300.0	G6	F2910
PITPNB	pos	544.46810000	544.4576	22300.0	G7	F2910
PITPNB	pos	544.46810000	544.4576	12600.0	G8	F2910
PITPNB	pos	544.46810000	544.4576	8850.0	G9	F2910
PITPNB	pos	544.46810000	544.4576	13200.0	G10	F2910
