protein	mode	mzo	mz	i	fr	fe
STARD10	neg	830.58590000	830.5826	209000.0	C4	F15385
STARD10	neg	830.58590000	830.5826	59900.0	C5	F15385
STARD10	neg	830.58590000	830.5826	630000.0	C6	F15385
STARD10	neg	830.58590000	830.5826	2860000.0	C7	F15385
STARD10	neg	830.58590000	830.5826	3380000.0	C8	F15385
STARD10	neg	830.58590000	830.5826	1090000.0	C9	F15385
STARD10	neg	830.58590000	830.5826	189000.0	C10	F15385
STARD10	neg	830.58590000	830.5826	24400.0	C11	F15385
STARD10	neg	830.58590000	830.5826	9590.0	C12	F15385
STARD10	neg	830.58590000	830.5826	24500.0	X0	F15385
STARD10	neg	830.58590000	830.581	209000.0	C4	F15384
STARD10	neg	830.58590000	830.581	59900.0	C5	F15384
STARD10	neg	830.58590000	830.581	630000.0	C6	F15384
STARD10	neg	830.58590000	830.581	2860000.0	C7	F15384
STARD10	neg	830.58590000	830.581	3380000.0	C8	F15384
STARD10	neg	830.58590000	830.581	1090000.0	C9	F15384
STARD10	neg	830.58590000	830.581	189000.0	C10	F15384
STARD10	neg	830.58590000	830.581	24400.0	C11	F15384
STARD10	neg	830.58590000	830.581	9590.0	C12	F15384
STARD10	neg	830.58590000	830.581	24500.0	X0	F15384
STARD10	neg	804.57010000	804.5776	2600.0	C4	F15064
STARD10	neg	804.57010000	804.5776	2910.0	C5	F15064
STARD10	neg	804.57010000	804.5776	8840.0	C6	F15064
STARD10	neg	804.57010000	804.5776	36500.0	C7	F15064
STARD10	neg	804.57010000	804.5776	43100.0	C8	F15064
STARD10	neg	804.57010000	804.5776	15200.0	C9	F15064
STARD10	neg	804.57010000	804.5776	3550.0	C10	F15064
STARD10	neg	804.57010000	804.5776	1910.0	C11	F15064
STARD10	neg	804.57010000	804.5776	1930.0	C12	F15064
STARD10	neg	804.57010000	804.5776	3200.0	X0	F15064
STARD10	neg	804.57010000	804.5797	0.0	C4	F15065
STARD10	neg	804.57010000	804.5797	67100.0	C5	F15065
STARD10	neg	804.57010000	804.5797	0.0	C6	F15065
STARD10	neg	804.57010000	804.5797	0.0	C7	F15065
STARD10	neg	804.57010000	804.5797	91700.0	C8	F15065
STARD10	neg	804.57010000	804.5797	0.0	C9	F15065
STARD10	neg	804.57010000	804.5797	0.0	C10	F15065
STARD10	neg	804.57010000	804.5797	0.0	C11	F15065
STARD10	neg	804.57010000	804.5797	112000.0	C12	F15065
