protein	ionm	id	mz	mzcorr	intensity	cls	headgroup1	rtmean	rtms2	rtlow	rtup	headgroup	lyso	pref	carb	unsat	fa1p	fa1c	fa1u	fa2p	fa2c	fa2u	fa3p	fa3c	fa3u	fullhgroup	mhgroup	uhgroup	hgcc	cc	hgfa	ccfa	screen
ARGHAP1	pos	0	468.443668708377	468.441	1000000	II	Cer	5.13	NaN	4.35	10.16	Cer		d	29.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	Cer	Cer	Cer(29:1)	29:1	NA	NA	A
ARGHAP8	pos	0	622.484645744146	622.4929	330000	IV	ambiguous	9.84	NaN	9.44	14.84	PE		O	28.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	ambiguous	PE-O	PE-O(28:0)	28:0	NA	NA	A
ARGHAP8	pos	0	622.484645744146	622.4929	330000	IV	ambiguous	9.84	NaN	9.44	14.84	LysoPE	Lyso		28.0	0.0		28.0	0.0		NaN	NaN		NaN	NaN	LysoPE	ambiguous	LysoPE	LysoPE(28:0)	28:0	LysoPE(28:0)	28:0	A
ARGHAP8	pos	0	622.484645744146	622.4929	330000	IV	ambiguous	9.84	NaN	9.44	14.84	PC		O	25.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	ambiguous	PC-O	PC-O(25:0)	25:0	NA	NA	A
ARGHAP8	pos	0	622.484645744146	622.4929	330000	IV	ambiguous	9.84	NaN	9.44	14.84	Cer		d	30.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	ambiguous	Cer	Cer(30:1)	30:1	NA	NA	A
ARGHAP8	pos	0	622.484645744146	622.4929	330000	IV	ambiguous	9.84	NaN	9.44	14.84	SM		d	27.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	SM	ambiguous	SM	SM(27:1)	27:1	NA	NA	A
ARGHAP8	pos	0	622.484645744146	622.4929	330000	IV	ambiguous	9.84	NaN	9.44	14.84	PA		O	30.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PA-O	ambiguous	PA-O	PA-O(30:1)	30:1	NA	NA	A
ARGHAP8	pos	0	622.484645744146	622.4929	330000	IV	ambiguous	9.84	NaN	9.44	14.84	Cer		t	38.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	ambiguous	Cer	Cer(38:6)	38:6	NA	NA	A
ATCAY	pos	0	760.581884698506	760.5777	400000	I	PC	10.71	10.658663	10.43	11.06	PC			34.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	PC	PC	PC(34:1)	34:1	NA	NA	A
ATCAY	pos	1	732.553630487899	732.5496	260000	I	PC	9.38	9.3719594	7.65	10.42	PC			32.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	PC	PC	PC(32:1)	32:1	NA	NA	A
ATCAY	pos	2	928.834410418809	928.8293	86000	II	TAG	15.94	18.968465	15.72	16.38	TAG			56.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	TAG	TAG	TAG	TAG(56:4)	56:4	NA	NA	A
ATCAY	pos	3	788.615038936071	788.6107	38000	IV	ambiguous	12.11	5.4549844	11.81	12.43	PC			36.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	ambiguous	PC	PC(36:1)	36:1	NA	NA	A
ATCAY	pos	3	788.615038936071	788.6107	38000	IV	ambiguous	12.11	5.4549844	11.81	12.43	PE			39.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	ambiguous	PE	PE(39:1)	39:1	NA	NA	A
ATCAY	pos	3	788.615038936071	788.6107	38000	IV	ambiguous	12.11	5.4549844	11.81	12.43	PA			41.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PA	ambiguous	PA	PA(41:2)	41:2	NA	NA	A
ATCAY	pos	3	788.615038936071	788.6107	38000	IV	ambiguous	12.11	5.4549844	11.81	12.43	DAG			48.0	11.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG	ambiguous	DAG	DAG(48:11)	48:11	NA	NA	A
ATCAY	pos	4	716.5541424592	716.5502	11000	IV	ambiguous	10.0	4.6271095	9.58	10.55	PE		O	35.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	ambiguous	PE-O	PE-O(35:2)	35:2	NA	NA	A
ATCAY	pos	4	716.5541424592	716.5502	11000	IV	ambiguous	10.0	4.6271095	9.58	10.55	PC		O	32.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	ambiguous	PC-O	PC-O(32:2)	32:2	NA	NA	A
ATCAY	pos	4	716.5541424592	716.5502	11000	IV	ambiguous	10.0	4.6271095	9.58	10.55	PA		O	37.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PA-O	ambiguous	PA-O	PA-O(37:3)	37:3	NA	NA	A
BNIP2	pos	0	992.741182183906	992.7534	13000000	III.2	unknown	6.9	6.8454614	6.6	7.21	PS			51.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	PS	NA	NA	PS(51:5)	51:5	NA	NA	A
BNIP2	pos	0	992.741182183906	992.7534	13000000	III.2	unknown	6.9	6.8454614	6.6	7.21	PE		O	54.0	8.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	NA	NA	PE-O(54:8)	54:8	NA	NA	A
