protein	ionm	id	mz	mzcorr	intensity	cls	headgroup1	rtmean	rtms2	rtlow	rtup	headgroup	lyso	pref	carb	unsat	fa1p	fa1c	fa1u	fa2p	fa2c	fa2u	fa3p	fa3c	fa3u	fullhgroup	mhgroup	uhgroup	hgcc	cc	hgfa	ccfa	screen
BNIP2	pos	1	598.324536329307	598.3319	12000000	III.2	unknown	4.83	4.8562088	3.66	5.8	SHexCer		d	21.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	SHexCer	NA	SHexCer	SHexCer(21:1)	21:1	NA	NA	A
BNIP2	pos	2	1020.76813725193	1020.7807	10000000	III.2	unknown	6.9	6.8496031	6.6	7.57	PS			53.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	PS	NA	NA	PS(53:5)	53:5	NA	NA	A
BNIP2	pos	2	1020.76813725193	1020.7807	10000000	III.2	unknown	6.9	6.8496031	6.6	7.57	PE		O	56.0	8.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	NA	NA	PE-O(56:8)	56:8	NA	NA	A
BNIP2	pos	3	492.402139932283	492.4082	9200000	III.2	unknown	6.61	6.6485899	2.15	11.61	Cer		t	28.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	Cer	Cer(28:1)	28:1	NA	NA	A
BNIP2	pos	4	556.276853816504	556.2837	8400000	III.5	unknown	4.48	4.4774404	1.17	5.67	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	pos	5	1006.78930929148	1006.8017	7700000	III.2	unknown	8.75	8.6869839	8.48	9.51	PS		O	53.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	PS-O	NA	PS-O	PS-O(53:5)	53:5	NA	NA	A
BNIP2	pos	6	997.692721244565	997.705	4100000	III.2	unknown	6.88	6.8750717	6.6	7.24	PGP			46.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PGP	NA	PGP	PGP(46:1)	46:1	NA	NA	A
BNIP2	pos	7	983.712293303809	983.7244	3000000	III.2	unknown	8.76	8.7262088	8.44	9.14	PC			50.0	10.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	NA	NA	PC(50:10)	50:10	NA	NA	A
BNIP2	pos	7	983.712293303809	983.7244	3000000	III.2	unknown	8.76	8.7262088	8.44	9.14	Hex2Cer		d	42.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	Hex2Cer	NA	NA	Hex2Cer(42:5)	42:5	NA	NA	A
BNIP2	pos	8	922.770643321926	922.782	2200000	III.2	unknown	13.9	13.922818	13.59	14.07	PE		O	50.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	NA	NA	PE-O(50:4)	50:4	NA	NA	A
BNIP2	pos	8	922.770643321926	922.782	2200000	III.2	unknown	13.9	13.922818	13.59	14.07	PC		O	47.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	NA	NA	PC-O(47:4)	47:4	NA	NA	A
BNIP2	pos	8	922.770643321926	922.782	2200000	III.2	unknown	13.9	13.922818	13.59	14.07	Cer		d	52.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	NA	Cer(52:5)	52:5	NA	NA	A
BNIP2	pos	8	922.770643321926	922.782	2200000	III.2	unknown	13.9	13.922818	13.59	14.07	SM		d	49.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	SM	NA	NA	SM(49:5)	49:5	NA	NA	A
BNIP2	pos	8	922.770643321926	922.782	2200000	III.2	unknown	13.9	13.922818	13.59	14.07	PA		O	52.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	PA-O	NA	NA	PA-O(52:5)	52:5	NA	NA	A
BNIP2	pos	8	922.770643321926	922.782	2200000	III.2	unknown	13.9	13.922818	13.59	14.07	HexCerOH		t	47.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCerOH	NA	NA	HexCerOH(47:0)	47:0	NA	NA	A
BNIP2	pos	9	441.297568883979	441.303	2100000	III.5	unknown	6.64	6.6109902	6.12	9.87	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	pos	10	964.778026330701	964.7899	1900000	III.2	unknown	12.08	12.113791	10.72	16.91	PE			52.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	NA	NA	PE(52:4)	52:4	NA	NA	A
BNIP2	pos	10	964.778026330701	964.7899	1900000	III.2	unknown	12.08	12.113791	10.72	16.91	PC			49.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	NA	NA	PC(49:4)	49:4	NA	NA	A
BNIP2	pos	10	964.778026330701	964.7899	1900000	III.2	unknown	12.08	12.113791	10.72	16.91	Cer		t	54.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	NA	Cer(54:6)	54:6	NA	NA	A
BNIP2	pos	10	964.778026330701	964.7899	1900000	III.2	unknown	12.08	12.113791	10.72	16.91	PA			54.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	PA	NA	NA	PA(54:5)	54:5	NA	NA	A
BNIP2	pos	10	964.778026330701	964.7899	1900000	III.2	unknown	12.08	12.113791	10.72	16.91	SM		t	51.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	SM	NA	NA	SM(51:6)	51:6	NA	NA	A
BNIP2	pos	10	964.778026330701	964.7899	1900000	III.2	unknown	12.08	12.113791	10.72	16.91	PE			50.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	NA	NA	PE(50:1)	50:1	NA	NA	A
BNIP2	pos	10	964.778026330701	964.7899	1900000	III.2	unknown	12.08	12.113791	10.72	16.91	PC			47.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	NA	NA	PC(47:1)	47:1	NA	NA	A
BNIP2	pos	11	560.470902199715	560.4778	1100000	III.2	unknown	10.9	10.941484	10.68	11.06	Cer		t	33.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	Cer	Cer(33:2)	33:2	NA	NA	A
BNIP2	pos	12	908.792615351634	908.8038	810000	III.5	unknown	16.45	16.440598	16.19	17.23	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	pos	13	537.388186282196	537.3948	640000	III.2	unknown	10.9	10.817919	10.69	11.1	PA		O	25.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	PA-O	NA	PA-O	PA-O(25:0)	25:0	NA	NA	A
BNIP2	pos	14	360.36276496087	360.3672	620000	III.5	unknown	4.21	4.2008406	2.03	4.35	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	pos	15	936.822570382731	936.8341	610000	III.5	unknown	16.46	16.482069	16.19	16.77	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	pos	16	532.432547271996	532.4391	440000	III.5	unknown	10.91	10.825563	10.69	11.05	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	pos	17	614.28523989851	614.2928	420000	III.6	unknown	5.01	NaN	4.29	5.75	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	pos	18	399.250586362561	399.2555	290000	III.2	unknown	2.04	2.0174351	0.84	2.18	MAG			20.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	MAG	NA	MAG	MAG(20:5)	20:5	NA	NA	A
BNIP2	pos	19	620.380864878731	620.3885	260000	III.5	unknown	1.88	1.9457835	0.86	2.27	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	pos	20	576.410506028597	576.4176	230000	III.2	unknown	1.96	1.9889956	1.16	2.89	LysoPC	Lyso		22.0	2.0		22.0	2.0		NaN	NaN		NaN	NaN	LysoPC	NA	NA	LysoPC(22:2)	22:2	LysoPC(22:2)	22:2	A
BNIP2	pos	20	576.410506028597	576.4176	230000	III.2	unknown	1.96	1.9889956	1.16	2.89	PC		O	22.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	NA	NA	PC-O(22:2)	22:2	NA	NA	A
BNIP2	pos	20	576.410506028597	576.4176	230000	III.2	unknown	1.96	1.9889956	1.16	2.89	PE		O	25.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	NA	NA	PE-O(25:2)	25:2	NA	NA	A
BNIP2	pos	21	664.403123090131	664.4113	210000	IV	ambiguous	1.91	NaN	0.98	2.38	PC			26.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	ambiguous	PC	PC(26:4)	26:4	NA	NA	A
BNIP2	pos	21	664.403123090131	664.4113	210000	IV	ambiguous	1.91	NaN	0.98	2.38	PE			29.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	ambiguous	PE	PE(29:4)	29:4	NA	NA	A
BNIP2	pos	22	610.568485641168	610.576	180000	III.2	unknown	11.26	11.274434	10.98	11.46	Cer		t	38.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	NA	Cer(38:1)	38:1	NA	NA	A
BNIP2	pos	22	610.568485641168	610.576	180000	III.2	unknown	11.26	11.274434	10.98	11.46	DAG-O		O	35.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG-O	NA	NA	DAG-O(35:2)	35:2	NA	NA	A
BNIP2	pos	23	778.632317254137	778.6419	170000	III.2	unknown	6.64	6.63789	6.08	6.93	PA			40.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	PA	NA	PA	PA(40:0)	40:0	NA	NA	A
BNIP2	pos	24	572.437354926769	572.4444	160000	III.6	unknown	1.72	NaN	0.98	1.95	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	pos	25	484.38123864673	484.3872	160000	III.5	unknown	1.78	1.89739	1.13	1.95	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	pos	26	457.271772287038	457.2774	78000	IV	ambiguous	6.7	1.6749375	6.27	7.1	PC			11.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	ambiguous	PC	PC(11:0)	11:0	NA	NA	A
BNIP2	pos	26	457.271772287038	457.2774	78000	IV	ambiguous	6.7	1.6749375	6.27	7.1	PS	Lyso	O	13.0	1.0	O	13.0	1.0		NaN	NaN		NaN	NaN	LysoPS-O	ambiguous	LysoPS-O	LysoPS-O(13:1)	13:1	LysoPS-O(13:1)	13:1	A
BNIP2	pos	26	457.271772287038	457.2774	78000	IV	ambiguous	6.7	1.6749375	6.27	7.1	PE			14.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	ambiguous	PE	PE(14:0)	14:0	NA	NA	A
BNIP2	pos	27	592.458108528322	592.4654	67000	III.5	unknown	9.66	9.6153294	9.21	10.76	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	pos	28	620.433064236305	620.4407	46000	III.2	unknown	9.66	9.649971	9.4	9.99	PE			27.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	NA	NA	PE(27:1)	27:1	NA	NA	A
BNIP2	pos	28	620.433064236305	620.4407	46000	III.2	unknown	9.66	9.649971	9.4	9.99	PC			24.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	NA	NA	PC(24:1)	24:1	NA	NA	A
BNIP2	pos	28	620.433064236305	620.4407	46000	III.2	unknown	9.66	9.649971	9.4	9.99	PA			29.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PA	NA	NA	PA(29:2)	29:2	NA	NA	A
BNIP2	pos	29	840.568554995478	840.5789	18000	IV	ambiguous	1.82	11.177241	1.17	2.04	PS			40.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PS	ambiguous	PS	PS(40:4)	40:4	NA	NA	A
BNIP2	pos	29	840.568554995478	840.5789	18000	IV	ambiguous	1.82	11.177241	1.17	2.04	BMP			40.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	BMP	ambiguous	BMP	BMP(40:6)	40:6	NA	NA	A
BNIP2	pos	29	840.568554995478	840.5789	18000	IV	ambiguous	1.82	11.177241	1.17	2.04	PI			33.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PI	ambiguous	PI	PI(33:1)	33:1	NA	NA	A
BNIP2	pos	29	840.568554995478	840.5789	18000	IV	ambiguous	1.82	11.177241	1.17	2.04	PG			40.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	PG	ambiguous	PG	PG(40:6)	40:6	NA	NA	A
BNIP2	pos	29	840.568554995478	840.5789	18000	IV	ambiguous	1.82	11.177241	1.17	2.04	PS			38.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PS	ambiguous	PS	PS(38:1)	38:1	NA	NA	A
BNIP2	pos	30	712.606629842272	712.6154	11000	III.6	unknown	10.68	8.9778171	10.03	10.97	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	neg	0	872.333181455561	872.3319	140000	III.6	unknown	11.1	NaN	10.8	16.1	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	neg	1	709.86814279477	709.8671	120000	III.6	unknown	22.03	NaN	17.58	23.57	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	neg	2	437.944643339736	437.944	55000	III.5	unknown	2.0	1.9864619	1.84	2.15	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	neg	3	1372.71461651481	1372.7126	35000	III.6	unknown	12.94	NaN	11.86	14.42	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	neg	4	1402.7391606208	1402.7371	31000	III.6	unknown	22.77	NaN	21.85	23.4	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	neg	5	387.156468732017	387.1559	25000	III.5	unknown	4.52	4.5355607	4.48	4.65	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIP2	neg	6	250.153467474904	250.1531	7400	III.5	unknown	2.68	2.6914736	2.41	2.81	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIPL	pos	0	540.430348841841	540.437	1300000	III.5	unknown	1.38	1.3084994	0.84	1.62	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIPL	pos	1	471.376898693111	471.3827	600000	III.5	unknown	3.45	3.4388781	1.0	3.91	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIPL	pos	2	477.363125019717	477.369	280000	III.5	unknown	1.17	1.2866329	0.87	1.52	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIPL	pos	3	587.500269545198	587.5075	260000	III.2	unknown	4.55	4.4912062	2.86	4.76	DAG-O		O	35.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG-O	NA	NA	DAG-O(35:5)	35:5	NA	NA	A
BNIPL	pos	3	587.500269545198	587.5075	260000	III.2	unknown	4.55	4.4912062	2.86	4.76	DAG-O		O	33.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG-O	NA	NA	DAG-O(33:2)	33:2	NA	NA	A
BNIPL	pos	4	409.379461704959	409.3845	230000	III.5	unknown	3.62	3.5706377	1.18	4.37	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIPL	pos	5	544.462099222478	544.4688	190000	III.2	unknown	3.44	3.4693759	3.08	3.85	Cer		d	33.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	Cer	Cer(33:2)	33:2	NA	NA	A
BNIPL	pos	6	785.696730311335	785.7064	170000	IV	ambiguous	10.4	NaN	10.07	10.98	DAG			48.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG	ambiguous	DAG	DAG(48:4)	48:4	NA	NA	A
BNIPL	pos	6	785.696730311335	785.7064	170000	IV	ambiguous	10.4	NaN	10.07	10.98	Monoalkyldiacylglycerol		O	48.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	TAG-O	ambiguous	TAG-O	TAG-O(48:4)	48:4	NA	NA	A
BNIPL	pos	6	785.696730311335	785.7064	170000	IV	ambiguous	10.4	NaN	10.07	10.98	Monoalkyldiacylglycerol		O	46.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	TAG-O	ambiguous	TAG-O	TAG-O(46:1)	46:1	NA	NA	A
BNIPL	pos	6	785.696730311335	785.7064	170000	IV	ambiguous	10.4	NaN	10.07	10.98	DAG			46.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG	ambiguous	DAG	DAG(46:1)	46:1	NA	NA	A
BNIPL	pos	7	516.43074420861	516.4371	170000	II	Cer	1.28	3.3535891	1.0	3.89	Cer		d	31.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	Cer	Cer	Cer(31:2)	31:2	NA	NA	A
BNIPL	pos	8	453.368920320029	453.3745	170000	III.6	unknown	6.62	1.650647	5.15	8.39	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIPL	pos	9	516.431344201226	516.4377	160000	III.2	unknown	3.45	3.4732008	3.08	3.85	Cer		d	31.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	Cer	Cer(31:2)	31:2	NA	NA	A
BNIPL	pos	10	544.461299232324	544.468	160000	II	Cer	1.29	3.3574141	1.0	4.59	Cer		d	33.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	Cer	Cer	Cer(33:2)	33:2	NA	NA	A
BNIPL	pos	11	615.475625248258	615.4832	140000	III.2	unknown	4.55	4.5412058	3.19	5.35	PA	Lyso	O	30.0	0.0	O	30.0	0.0		NaN	NaN		NaN	NaN	LysoPA-O	NA	LysoPA-O	LysoPA-O(30:0)	30:0	LysoPA-O(30:0)	30:0	A
BNIPL	pos	12	415.315688646915	415.3208	110000	III.5	unknown	1.42	1.457213	0.84	1.54	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIPL	pos	13	524.42504582153	524.4315	93000	III.5	unknown	4.53	4.5296913	3.03	4.76	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIPL	pos	14	544.462099222478	544.4688	75000	III.2	unknown	3.75	3.7294095	3.65	3.89	Cer		d	33.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	Cer	Cer(33:2)	33:2	NA	NA	A
BNIPL	pos	15	718.573856402711	718.5827	72000	I	PC	9.99	9.9650051	9.67	10.94	PC		O	32.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	PC	PC	PC(32:1)	32:1	NA	NA	A
BNIPL	pos	16	516.431644197534	516.438	69000	III.2	unknown	3.75	3.7719259	3.65	3.89	Cer		d	31.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	Cer	Cer(31:2)	31:2	NA	NA	A
BNIPL	pos	17	544.461599228632	544.4683	9900	II	Cer	4.54	3.7795778	4.37	4.67	Cer		d	33.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	Cer	Cer	Cer(33:2)	33:2	NA	NA	A
BNIPL	pos	18	774.600966868577	774.6105	7300	IV	ambiguous	10.78	4.9448813	10.53	11.06	PC			35.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	ambiguous	PC	PC(35:1)	35:1	NA	NA	A
BNIPL	pos	18	774.600966868577	774.6105	7300	IV	ambiguous	10.78	4.9448813	10.53	11.06	PE			38.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	ambiguous	PE	PE(38:1)	38:1	NA	NA	A
BNIPL	pos	18	774.600966868577	774.6105	7300	IV	ambiguous	10.78	4.9448813	10.53	11.06	HexDAG			34.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	HexDAG	ambiguous	HexDAG	HexDAG(34:1)	34:1	NA	NA	A
BNIPL	pos	18	774.600966868577	774.6105	7300	IV	ambiguous	10.78	4.9448813	10.53	11.06	PA			40.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PA	ambiguous	PA	PA(40:2)	40:2	NA	NA	A
BNIPL	pos	19	595.507271001818	595.5146	7100	III.6	unknown	12.04	6.2375626	11.55	12.52	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
BNIPL	pos	20	716.558981200086	716.5678	6100	IV	ambiguous	9.98	4.4859866	9.01	10.33	HexCerOH		t	34.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCerOH	ambiguous	HexCerOH	HexCerOH(34:1)	34:1	NA	NA	A
BNIPL	pos	20	716.558981200086	716.5678	6100	IV	ambiguous	9.98	4.4859866	9.01	10.33	PE		O	35.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	ambiguous	PE-O	PE-O(35:2)	35:2	NA	NA	A
BNIPL	pos	20	716.558981200086	716.5678	6100	IV	ambiguous	9.98	4.4859866	9.01	10.33	PC		O	32.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	ambiguous	PC-O	PC-O(32:2)	32:2	NA	NA	A
BNIPL	pos	20	716.558981200086	716.5678	6100	IV	ambiguous	9.98	4.4859866	9.01	10.33	PA		O	37.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PA-O	ambiguous	PA-O	PA-O(37:3)	37:3	NA	NA	A
BNIPL	pos	21	536.498397232965	536.505	4900	II	Cer	8.57	7.6595463	8.3	8.66	Cer		d	34.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	Cer	Cer	Cer(34:2)	34:2	NA	NA	A
