Domain name	Gene name	Binding	PMID (Binding)	Lipid class	Classes standard abbrev.
OSBP	OSBP (OSBP1)	25-hydroxycholesterol	17428193	Sterol lipids	HCH
		photo-25-hydroxycholesterol	17428193	Sterol lipids	PHCH
		PI(4)P	24209621	Glycerophospholipids	PI
		Dehydroergosterol	24209621	Sterol lipids	ES
OSBP	OSBPL1A (ORP1)	25-hydroxycholesterol	17428193	Sterol lipids	HCH
		photo-cholesterol	17428193	Sterol lipids	PCH
OSBP	OSBPL2 (ORP2)	25-hydroxycholesterol	17428193	Sterol lipids	HCH
		22(R)-hydroxycholesterol	19224871	Sterol lipids	HCH
		7-ketocholesterol	19224871	Sterol lipids	KCH
		Cholesterol	19224871	Sterol lipids	CH
OSBP	OSBPL3 (ORP3)	photo-25-hydroxycholesterol	17428193	Sterol lipids	PHCH
		photo-cholesterol	17428193	Sterol lipids	PCH
OSBP	OSBP2 (ORP4)	7-ketocholesterol	11278871	Sterol lipids	KCH
		photo-25-hydroxycholesterol	17428193	Sterol lipids	PHCH
OSBP	OSBPL5 (ORP5)	photo-25-hydroxycholesterol	17428193	Sterol lipids	PHCH
		photo-cholesterol	17428193	Sterol lipids	PCH
		Dehydroergosterol	21220512	Sterol lipids	DES
		PS	23934110	Glycerohospholipids	PS
OSBP	OSBPL6 (ORP6)	photo-25-hydroxycholesterol	17428193	Sterol lipids	PHCH
OSBP	OSBPL7 (ORP7)	photo-25-hydroxycholesterol	17428193	Sterol lipids	PHCH
OSBP	OSBPL8 (ORP8)	photo-25-hydroxycholesterol	17991739	Sterol lipids	PHCH
		photo-cholesterol	17428193	Sterol lipids	PCH
OSBP	OSBPL9 (ORP9)	PI(4)P	25255026	Glycerohospholipids	PI
		Cholestatrienol	25255026	Sterol lipids	CHT
		Dehydroergosterol	25255026	Sterol lipids	DES
OSBP	OSBPL10 (ORP10)	photo-25-hydroxycholesterol	17428193	Sterol lipids	PHCH
		PS	23934110	Glycerohospholipids	PS
OSBP	OSBPL11 (ORP11)	photo-25-hydroxycholesterol	17428193	Sterol lipids	PHCH
		photo-cholesterol	17428193	Sterol lipids	PCH
STAR	STAR (STARD1)	Cholesterol	9756854	Sterol lipids	CH
		Cholesterol	10802740	Sterol lipids	CH
		Cholesterol	18403318	Sterol lipids	CH
		Cholesterol	18211099	Sterol lipids	CH
STAR	PCTP (STARD2)	PC	12055623	Glycerophospholipids	PC
		PC	1168494	Glycerophospholipids	PC
		PC	6250569	Glycerophospholipids	PC
STAR	STARD3 (MLN64)	Cholesterol	19965586	Sterol lipids	CH
		Cholesterol	10802740	Sterol lipids	CH
		Cholesterol	18211099	Sterol lipids	CH
		Cholesterol	12070139	Sterol lipids	CH
STAR	STARD4	Cholesterol	18403318	Sterol lipids	CH
STAR	STARD5	Cholesterol	15897605	Sterol lipids	CH
		Cholesterol	10802740	Sterol lipids	CH
		Cholesterol	18211099	Sterol lipids	CH
		25-hydroxylcholesterol	15897605	Sterol lipids	HCH
		Chenodeoxycholic acid	23018617	Sterol lipids	CCA
		Cholic acid	23018617	Sterol lipids	CA
STAR	STARD6	Cholesterol	18211099	Sterol lipids	CH
STAR	STARD7 (GTT1)	PC	20042613	Glycerophospholipids	PC
STAR	STARD8 (DLC3)	ND			ND
STAR	STARD9	ND			ND
STAR	STARD10 (PCTP-like)	PC	15911624	Glycerophospholipids	PC
		PE	15911624	Glycerophospholipids	PE
STAR	COL4A3BP (STARD11) (CERT isoform 2)	Ceramide	14685229	Sphingolipids	Cer
		Ceramide	18184806	Sphingolipids	Cer
STAR	DLC1 (STARD12)	ND			ND
STAR	STARD13 (DLC2)	ND			ND
STAR	ACOT11 (STARD14)	ND			ND
STAR	ACOT12 (STARD15)	ND			ND
NPC1 N-terminal	NPC1	Cholesterol	19563754	Sterol lipids	CH
		Cholesterol	9927649	Sterol lipids	CH
		25-hydroxylcholesterol	19563754	Sterol lipids	HCH
		25-hydroxylcholesterol	17989073	Sterol lipids	HCH
NPC1 N-terminal	NPC1L1	Cholesterol	16407187	Sterol lipids	CH
E1_DerP2_DerF2	NPC2	Dehydroergosterol	12591954	Sterol lipids	DES
		Cholesterol	12591949	Sterol lipids	CH
		Cholesterol	10366780	Sterol lipids	CH
		Cholesterol-3-O-sulfate	17573352	Sterol lipids	CHS
E1_DerP2_DerF2	LY86	Lipid Iva	20534476	Saccharolipids	IVA
		Tetra-acylated lipid Iva	20595044	Saccharolipids	TAIVA
		LPS	20534476	Saccharolipids	LPS
E1_DerP2_DerF2	LY96	LPS	19252480	Saccharolipids	LPS
		LPS	11500507	Saccharolipids	LPS
		Lipid IVa	17569869	Saccharolipids	IVA
E1_DerP2_DerF2	GM2A	GM2 	12909021	Sphingolipids	GM
		GM2 	6210531	Sphingolipids	GM
		GM1	10329374	Sphingolipids	GM
		(lyso)platelet activating factor	15327957	Glycerophospholipids	PAF, LPAF
		Platelet activating factor	10329374	Glycerophospholipids	PAF
		PC	16216074	Glycerophospholipids	PC
LBP_BPI_CETP	CETP	CE	6691846	Sterol lipids	CE
		CE	17237796	Sterol lipids	CE
		TAG	6691846	Glycerolipids	TAG
		PC	6691846	Glycerophospholipids	PC
		PC	17237796	Glycerophospholipids	PC
LBP_BPI_CETP	BPIFB6 (BPIL3)	ND			ND
LBP_BPI_CETP	LBP	LPS	7517398	Saccharolipids	LPS
		LPS	2471708	Saccharolipids	LPS
LBP_BPI_CETP	BPIFA3	ND			ND
LBP_BPI_CETP	BPIFA1	ND			ND
LBP_BPI_CETP	BPIFB2	ND			ND
LBP_BPI_CETP	BPIFB3	ND			ND
LBP_BPI_CETP	BPIFB1	ND			ND
LBP_BPI_CETP	LATH	ND			ND
LBP_BPI_CETP	BPI	LPS	7517398	Saccharolipids	LPS
		LPS	8409400	Saccharolipids	LPS
LBP_BPI_CETP	BPIFA2	LPS	15158712	Saccharolipids	LPS
		LPS	21833535	Saccharolipids	LPS
LBP_BPI_CETP	BPIFC	ND			ND
LBP_BPI_CETP	BPIFB4	ND			ND
LBP_BPI_CETP	PLTP	DAG	9132017	Glycerolipids	DAG
		PA	9132017	Glycerophospholipids	PA
		SM	9132017	Sphingolipids	SM
		PC	9132017	Glycerophospholipids	PC
		PG	9132017	Glycerophospholipids	PG
		Cerobroside	9132017	Sphingolipids	Cer
		PE	9132017	Glycerophospholipids	PE
		alpha-tocopherol	7832785	Prenol lipids	VE
		PC	6691846	Glycerophospholipids	PC
IP_trans	PITPNM1 (DRES9) (NIR2) (PITPNM)	PI	10531358	Glycerophospholipids	PI
		PI	22822086	Glycerophospholipids	PI
IP_trans	PITPNM2 (NIR3)	ND		Glycerophospholipids	ND
IP_trans	PITPNC1 (canonical)	PI	10531358	Glycerophospholipids	PI
		PI	22822086	Glycerophospholipids	PI
		PA	22822086	Glycerophospholipids	PA
IP_trans	PITPNB	PI	11923101	Glycerophospholipids	PI
		PI	10531358	Glycerophospholipids	PI
		PI	16274224	Glycerophospholipids	PI
		PI	20332109	Glycerophospholipids	PI
		PC	11923101	Glycerophospholipids	PC
		PC	16274224	Glycerophospholipids	PC
		PC	20332109	Glycerophospholipids	PC
