protein	mode	mzo	mz	i	fr	fe
STARD10	pos	732.55330000	732.634	0.0	C9	F10965
STARD10	pos	732.55330000	732.634	0.0	C10	F10965
STARD10	pos	732.55330000	732.634	5460.0	C11	F10965
STARD10	pos	732.55330000	732.634	0.0	C12	F10965
STARD10	pos	732.55330000	732.634	0.0	X0	F10965
SEC14L2	neg	887.55630000	887.5671	0.0	C5	F16071
SEC14L2	neg	887.55630000	887.5671	0.0	C6	F16071
SEC14L2	neg	887.55630000	887.5671	0.0	C7	F16071
SEC14L2	neg	887.55630000	887.5671	0.0	C8	F16071
SEC14L2	neg	887.55630000	887.5671	1230.0	C9	F16071
SEC14L2	neg	887.55630000	887.5671	0.0	C10	F16071
SEC14L2	neg	887.55630000	887.5671	0.0	C11	F16071
SEC14L2	neg	887.55630000	887.5671	0.0	C12	F16071
SEC14L2	neg	887.55630000	887.5671	0.0	X0	F16071
SEC14L2	neg	863.55670000	863.6194	0.0	C5	F15871
SEC14L2	neg	863.55670000	863.6194	0.0	C6	F15871
SEC14L2	neg	863.55670000	863.6194	196.0	C7	F15871
SEC14L2	neg	863.55670000	863.6194	0.0	C8	F15871
SEC14L2	neg	863.55670000	863.6194	0.0	C9	F15871
SEC14L2	neg	863.55670000	863.6194	0.0	C10	F15871
SEC14L2	neg	863.55670000	863.6194	0.0	C11	F15871
SEC14L2	neg	863.55670000	863.6194	0.0	C12	F15871
SEC14L2	neg	863.55670000	863.6194	0.0	X0	F15871
GLTP	neg	870.65910000	870.6695	0.0	G4	F15035
GLTP	neg	870.65910000	870.6695	0.0	G5	F15035
GLTP	neg	870.65910000	870.6695	0.0	G6	F15035
GLTP	neg	870.65910000	870.6695	0.0	G7	F15035
GLTP	neg	870.65910000	870.6695	1150.0	G8	F15035
GLTP	neg	870.65910000	870.6695	2070.0	G9	F15035
GLTP	neg	870.65910000	870.6695	1300.0	G10	F15035
GLTP	neg	870.65910000	870.6695	0.0	G11	F15035
GLTP	neg	870.65910000	870.6695	0.0	G12	F15035
GLTP	neg	870.65910000	870.6695	0.0	X0	F15035
GLTP	neg	842.62810000	842.6383	0.0	G4	F14672
GLTP	neg	842.62810000	842.6383	0.0	G5	F14672
GLTP	neg	842.62810000	842.6383	0.0	G6	F14672
GLTP	neg	842.62810000	842.6383	10300.0	G7	F14672
GLTP	neg	842.62810000	842.6383	55700.0	G8	F14672
GLTP	neg	842.62810000	842.6383	134000.0	G9	F14672
GLTP	neg	842.62810000	842.6383	52300.0	G10	F14672
GLTP	neg	842.62810000	842.6383	12400.0	G11	F14672
GLTP	neg	842.62810000	842.6383	0.0	G12	F14672
GLTP	neg	842.62810000	842.6383	0.0	X0	F14672
GLTP	neg	854.66450000	854.675	11100.0	G4	F14828
GLTP	neg	854.66450000	854.675	0.0	G5	F14828
GLTP	neg	854.66450000	854.675	17200.0	G6	F14828
GLTP	neg	854.66450000	854.675	0.0	G7	F14828
GLTP	neg	854.66450000	854.675	622000.0	G8	F14828
GLTP	neg	854.66450000	854.675	1420000.0	G9	F14828
GLTP	neg	854.66450000	854.675	556000.0	G10	F14828
GLTP	neg	854.66450000	854.675	183000.0	G11	F14828
GLTP	neg	854.66450000	854.675	21100.0	G12	F14828
GLTP	neg	854.66450000	854.675	0.0	X0	F14828
GLTP	pos	826.67330000	826.6764	4180.0	G4	F12855
GLTP	pos	826.67330000	826.6764	0.0	G5	F12855
GLTP	pos	826.67330000	826.6764	11900.0	G6	F12855
GLTP	pos	826.67330000	826.6764	10800.0	G7	F12855
GLTP	pos	826.67330000	826.6764	0.0	G8	F12855
GLTP	pos	826.67330000	826.6764	0.0	G9	F12855
GLTP	pos	826.67330000	826.6764	3790.0	G10	F12855
GLTP	pos	826.67330000	826.6764	0.0	G11	F12855
GLTP	pos	826.67330000	826.6764	0.0	G12	F12855
GLTP	pos	826.67330000	826.6764	0.0	X0	F12855
GLTP	pos	810.67840000	810.681	6990.0	G4	F12531
GLTP	pos	810.67840000	810.681	39600.0	G5	F12531
GLTP	pos	810.67840000	810.681	0.0	G6	F12531
GLTP	pos	810.67840000	810.681	0.0	G7	F12531
GLTP	pos	810.67840000	810.681	0.0	G8	F12531
GLTP	pos	810.67840000	810.681	0.0	G9	F12531
GLTP	pos	810.67840000	810.681	16500.0	G10	F12531
GLTP	pos	810.67840000	810.681	0.0	G11	F12531
GLTP	pos	810.67840000	810.681	0.0	G12	F12531
GLTP	pos	810.67840000	810.681	0.0	X0	F12531
GLTP	pos	798.63980000	798.6437	0.0	G4	F12293
GLTP	pos	798.63980000	798.6437	0.0	G5	F12293
GLTP	pos	798.63980000	798.6437	0.0	G6	F12293
GLTP	pos	798.63980000	798.6437	0.0	G7	F12293
GLTP	pos	798.63980000	798.6437	6950.0	G8	F12293
GLTP	pos	798.63980000	798.6437	4350.0	G9	F12293
GLTP	pos	798.63980000	798.6437	19800.0	G10	F12293
GLTP	pos	798.63980000	798.6437	21200.0	G11	F12293
GLTP	pos	798.63980000	798.6437	10200.0	G12	F12293
GLTP	pos	798.63980000	798.6437	0.0	X0	F12293
GLTP	pos	800.65510000	800.6605	0.0	G4	F12331
GLTP	pos	800.65510000	800.6605	0.0	G5	F12331
GLTP	pos	800.65510000	800.6605	0.0	G6	F12331
GLTP	pos	800.65510000	800.6605	26400.0	G7	F12331
GLTP	pos	800.65510000	800.6605	125000.0	G8	F12331
GLTP	pos	800.65510000	800.6605	177000.0	G9	F12331
GLTP	pos	800.65510000	800.6605	102000.0	G10	F12331
GLTP	pos	800.65510000	800.6605	28300.0	G11	F12331
GLTP	pos	800.65510000	800.6605	0.0	G12	F12331
GLTP	pos	800.65510000	800.6605	0.0	X0	F12331
GLTPD1	neg	616.47080000	616.5528	4040000.0	E4	F10334
GLTPD1	neg	616.47080000	616.5528	2440000.0	E5	F10334
GLTPD1	neg	616.47080000	616.5528	2260000.0	E6	F10334
GLTPD1	neg	616.47080000	616.5528	1700000.0	E7	F10334
GLTPD1	neg	616.47080000	616.5528	3740000.0	E8	F10334
GLTPD1	neg	616.47080000	616.5528	0.0	E9	F10334
GLTPD1	neg	616.47080000	616.5528	1650000.0	E10	F10334
GLTPD1	neg	616.47080000	616.5528	3190000.0	E11	F10334
GLTPD1	neg	616.47080000	616.5528	0.0	E12	F10334
GLTPD1	neg	616.47080000	616.5528	0.0	X0	F10334
GLTPD1	neg	726.58010000	726.6274	2030.0	E4	F13171
GLTPD1	neg	726.58010000	726.6274	3050.0	E5	F13171
GLTPD1	neg	726.58010000	726.6274	2870.0	E6	F13171
GLTPD1	neg	726.58010000	726.6274	3620.0	E7	F13171
GLTPD1	neg	726.58010000	726.6274	3460.0	E8	F13171
GLTPD1	neg	726.58010000	726.6274	2420.0	E9	F13171
GLTPD1	neg	726.58010000	726.6274	14200.0	E10	F13171
GLTPD1	neg	726.58010000	726.6274	1720.0	E11	F13171
GLTPD1	neg	726.58010000	726.6274	1670.0	E12	F13171
GLTPD1	neg	726.58010000	726.6274	1850.0	X0	F13171
GLTPD1	pos	703.58450000	703.6086	0.0	E4	F12134
GLTPD1	pos	703.58450000	703.6086	0.0	E5	F12134
GLTPD1	pos	703.58450000	703.6086	0.0	E6	F12134
GLTPD1	pos	703.58450000	703.6086	0.0	E7	F12134
GLTPD1	pos	703.58450000	703.6086	0.0	E8	F12134
GLTPD1	pos	703.58450000	703.6086	0.0	E9	F12134
GLTPD1	pos	703.58450000	703.6086	3090.0	E10	F12134
GLTPD1	pos	703.58450000	703.6086	0.0	E11	F12134
GLTPD1	pos	703.58450000	703.6086	0.0	E12	F12134
GLTPD1	pos	703.58450000	703.6086	0.0	X0	F12134
GLTPD1	pos	813.69280000	813.7	0.0	E4	F15248
GLTPD1	pos	813.69280000	813.7	0.0	E5	F15248
GLTPD1	pos	813.69280000	813.7	0.0	E6	F15248
GLTPD1	pos	813.69280000	813.7	0.0	E7	F15248
GLTPD1	pos	813.69280000	813.7	0.0	E8	F15248
GLTPD1	pos	813.69280000	813.7	0.0	E9	F15248
GLTPD1	pos	813.69280000	813.7	0.0	E10	F15248
GLTPD1	pos	813.69280000	813.7	0.0	E11	F15248
GLTPD1	pos	813.69280000	813.7	4000.0	E12	F15248
GLTPD1	pos	813.69280000	813.7	0.0	X0	F15248
GLTPD1	pos	787.67710000	787.6787	1130000.0	E4	F14646
GLTPD1	pos	787.67710000	787.6787	1030000.0	E5	F14646
GLTPD1	pos	787.67710000	787.6787	827000.0	E6	F14646
GLTPD1	pos	787.67710000	787.6787	992000.0	E7	F14646
GLTPD1	pos	787.67710000	787.6787	928000.0	E8	F14646
GLTPD1	pos	787.67710000	787.6787	875000.0	E9	F14646
GLTPD1	pos	787.67710000	787.6787	1130000.0	E10	F14646
GLTPD1	pos	787.67710000	787.6787	1040000.0	E11	F14646
GLTPD1	pos	787.67710000	787.6787	1060000.0	E12	F14646
GLTPD1	pos	787.67710000	787.6787	1190000.0	X0	F14646
GLTPD1	pos	785.66260000	785.6643	0.0	E4	F14614
GLTPD1	pos	785.66260000	785.6643	0.0	E5	F14614
GLTPD1	pos	785.66260000	785.6643	60900.0	E6	F14614
GLTPD1	pos	785.66260000	785.6643	79600.0	E7	F14614
GLTPD1	pos	785.66260000	785.6643	48300.0	E8	F14614
GLTPD1	pos	785.66260000	785.6643	0.0	E9	F14614
GLTPD1	pos	785.66260000	785.6643	30400.0	E10	F14614
GLTPD1	pos	785.66260000	785.6643	0.0	E11	F14614
GLTPD1	pos	785.66260000	785.6643	0.0	E12	F14614
GLTPD1	pos	785.66260000	785.6643	0.0	X0	F14614
GM2A	pos	798.63340000	798.644	15100.0	G7	F11314
GM2A	pos	798.63340000	798.644	0.0	G8	F11314
GM2A	pos	798.63340000	798.644	0.0	G9	F11314
GM2A	pos	798.63340000	798.644	0.0	G10	F11314
GM2A	pos	798.63340000	798.644	0.0	G11	F11314
GM2A	pos	798.63340000	798.644	0.0	G12	F11314
GM2A	pos	798.63340000	798.644	0.0	H1	F11314
GM2A	pos	798.63340000	798.644	0.0	X0	F11314
GM2A	pos	766.56860000	766.6423	2340.0	G7	F10720
GM2A	pos	766.56860000	766.6423	0.0	G8	F10720
GM2A	pos	766.56860000	766.6423	0.0	G9	F10720
GM2A	pos	766.56860000	766.6423	0.0	G10	F10720
GM2A	pos	766.56860000	766.6423	0.0	G11	F10720
GM2A	pos	766.56860000	766.6423	0.0	G12	F10720
GM2A	pos	766.56860000	766.6423	0.0	H1	F10720
GM2A	pos	766.56860000	766.6423	0.0	X0	F10720
GM2A	pos	776.55350000	776.5738	88400.0	G7	F10911
GM2A	pos	776.55350000	776.5738	0.0	G8	F10911
GM2A	pos	776.55350000	776.5738	53300.0	G9	F10911
GM2A	pos	776.55350000	776.5738	0.0	G10	F10911
GM2A	pos	776.55350000	776.5738	34000.0	G11	F10911
GM2A	pos	776.55350000	776.5738	32600.0	G12	F10911
GM2A	pos	776.55350000	776.5738	51100.0	H1	F10911
GM2A	pos	776.55350000	776.5738	88600.0	X0	F10911
