protein	mode	mzo	mz	i	fr	fe
STARD10	neg	830.58590000	830.6766	0.0	C4	F15385
STARD10	neg	830.58590000	830.6766	0.0	C5	F15385
STARD10	neg	830.58590000	830.6766	0.0	C6	F15385
STARD10	neg	830.58590000	830.6766	0.0	C7	F15385
STARD10	neg	830.58590000	830.6766	182.0	C8	F15385
STARD10	neg	830.58590000	830.6766	0.0	C9	F15385
STARD10	neg	830.58590000	830.6766	0.0	C10	F15385
STARD10	neg	830.58590000	830.6766	0.0	C11	F15385
STARD10	neg	830.58590000	830.6766	0.0	C12	F15385
STARD10	neg	830.58590000	830.6766	0.0	X0	F15385
STARD10	pos	786.59870000	786.631	33600.0	C4	F12347
STARD10	pos	786.59870000	786.631	44100.0	C5	F12347
STARD10	pos	786.59870000	786.631	32800.0	C6	F12347
STARD10	pos	786.59870000	786.631	27300.0	C7	F12347
STARD10	pos	786.59870000	786.631	22200.0	C8	F12347
STARD10	pos	786.59870000	786.631	23000.0	C9	F12347
STARD10	pos	786.59870000	786.631	33900.0	C10	F12347
STARD10	pos	786.59870000	786.631	31900.0	C11	F12347
STARD10	pos	786.59870000	786.631	28800.0	C12	F12347
STARD10	pos	786.59870000	786.631	15900.0	X0	F12347
STARD10	pos	758.56740000	758.5707	61600.0	C4	F11689
STARD10	pos	758.56740000	758.5707	36800.0	C5	F11689
STARD10	pos	758.56740000	758.5707	127000.0	C6	F11689
STARD10	pos	758.56740000	758.5707	501000.0	C7	F11689
STARD10	pos	758.56740000	758.5707	577000.0	C8	F11689
STARD10	pos	758.56740000	758.5707	285000.0	C9	F11689
STARD10	pos	758.56740000	758.5707	42600.0	C10	F11689
STARD10	pos	758.56740000	758.5707	28800.0	C11	F11689
STARD10	pos	758.56740000	758.5707	32200.0	C12	F11689
STARD10	pos	758.56740000	758.5707	23800.0	X0	F11689
STARD10	pos	760.58220000	760.5846	79500.0	C4	F11747
STARD10	pos	760.58220000	760.5846	65500.0	C5	F11747
STARD10	pos	760.58220000	760.5846	146000.0	C6	F11747
STARD10	pos	760.58220000	760.5846	409000.0	C7	F11747
STARD10	pos	760.58220000	760.5846	nan	C8	F11747
STARD10	pos	760.58220000	760.5846	268000.0	C9	F11747
STARD10	pos	760.58220000	760.5846	55400.0	C10	F11747
STARD10	pos	760.58220000	760.5846	46300.0	C11	F11747
STARD10	pos	760.58220000	760.5846	66100.0	C12	F11747
STARD10	pos	760.58220000	760.5846	62800.0	X0	F11747
STARD10	pos	732.55330000	732.634	0.0	C4	F10965
STARD10	pos	732.55330000	732.634	0.0	C5	F10965
STARD10	pos	732.55330000	732.634	0.0	C6	F10965
STARD10	pos	732.55330000	732.634	0.0	C7	F10965
STARD10	pos	732.55330000	732.634	0.0	C8	F10965
