protein	fraction	protein_containing
FABP3	E1	0
FABP3	E2	0
FABP3	E3	0
FABP3	E4	0
FABP3	E5	0
FABP3	E6	0
FABP3	E7	1
FABP3	E8	1
FABP3	E9	1
FABP3	E10	1
FABP3	E11	1
FABP3	E12	0
FABP3	F1	0
FABP3	F2	0
FABP3	F3	0
FABP3	F4	0
FABP3	F5	0
FABP3	F6	0
PITPNC1	G1	0
PITPNC1	G2	0
PITPNC1	G3	0
PITPNC1	G4	0
PITPNC1	G5	0
PITPNC1	G6	1
PITPNC1	G7	1
PITPNC1	G8	1
PITPNC1	G9	1
PITPNC1	G10	1
PITPNC1	G11	0
PITPNC1	G12	0
PITPNC1	H1	0
PITPNC1	H2	0
PITPNC1	H3	0
PITPNC1	H4	0
PITPNC1	H5	0
PITPNC1	H6	0
SCP2D1	G1	0
SCP2D1	G2	0
SCP2D1	G3	0
SCP2D1	G4	0
SCP2D1	G5	0
SCP2D1	G6	0
SCP2D1	G7	1
SCP2D1	G8	1
SCP2D1	G9	1
SCP2D1	G10	1
SCP2D1	G11	0
SCP2D1	G12	0
SCP2D1	H1	0
SCP2D1	H2	0
SCP2D1	H3	0
SCP2D1	H4	0
SCP2D1	H5	0
SCP2D1	H6	0
FABP4	G1	0
FABP4	G2	0
FABP4	G3	0
FABP4	G4	0
FABP4	G5	0
FABP4	G6	0
FABP4	G7	0
FABP4	G8	0
FABP4	G9	1
FABP4	G10	1
FABP4	G11	1
FABP4	G12	1
FABP4	H1	0
FABP4	H2	0
FABP4	H3	0
FABP4	H4	0
FABP4	H5	0
FABP4	H6	0
TTPA	E1	0
TTPA	E2	0
TTPA	E3	0
TTPA	E4	1
TTPA	E5	1
TTPA	E6	1
TTPA	E7	1
TTPA	E8	1
TTPA	E9	1
TTPA	E10	0
TTPA	E11	0
TTPA	E12	0
TTPA	F1	0
TTPA	F2	0
TTPA	F3	0
TTPA	F4	0
TTPA	F5	0
TTPA	F6	0
ARGHGAP1	A1	0
ARGHGAP1	A2	1
ARGHGAP1	A3	1
ARGHGAP1	A4	0
ARGHGAP1	A5	0
ARGHGAP1	A6	0
ARGHGAP1	A7	0
ARGHGAP1	A8	0
ARGHGAP1	A9	0
ARGHGAP1	A10	1
ARGHGAP1	A11	1
ARGHGAP1	A12	0
ARGHGAP1	B1	0
ARGHGAP1	B2	1
ARGHGAP1	B3	1
ARGHGAP1	B4	0
ARGHGAP1	B5	0
ARGHGAP1	B6	0
FABP1	C1	0
FABP1	C2	0
FABP1	C3	0
FABP1	C4	0
FABP1	C5	0
FABP1	C6	0
FABP1	C7	1
FABP1	C8	1
FABP1	C9	1
FABP1	C10	1
FABP1	C11	1
FABP1	C12	0
FABP1	D1	0
FABP1	D2	0
FABP1	D3	0
FABP1	D4	0
FABP1	D5	0
FABP1	D6	0
LCN8	A1	0
LCN8	A2	0
LCN8	A3	0
LCN8	A4	0
LCN8	A5	0
LCN8	A6	0
LCN8	A7	0
LCN8	A8	1
LCN8	A9	1
LCN8	A10	1
LCN8	A11	1
LCN8	A12	1
LCN8	B1	0
LCN8	B2	0
LCN8	B3	0
LCN8	B4	0
LCN8	B5	0
LCN8	B6	0
OBP2B	E1	0
OBP2B	E2	0
OBP2B	E3	0
OBP2B	E4	0
OBP2B	E5	1
OBP2B	E6	1
OBP2B	E7	1
OBP2B	E8	1
OBP2B	E9	1
OBP2B	E10	1
OBP2B	E11	1
OBP2B	E12	1
OBP2B	F1	1
OBP2B	F2	1
OBP2B	F3	1
OBP2B	F4	0
OBP2B	F5	0
OBP2B	F6	0
FABP5P3	C1	0
FABP5P3	C2	0
FABP5P3	C3	0
FABP5P3	C4	0
FABP5P3	C5	1
