	a9	a10	a11	a12	b1
ARHGAP1	0	1	1	0	None
ARHGAP8	0	1	1	0	0
ATCAY	1	1	0	0	None
BNIP2	1	1	0	0	None
BNIPL	1	0	0	0	None
BPI	0	1	1	0	None
BPIFB2	1	1	0	0	None
C8G	0	0	1	1	0
CLVS1	0	0	1	1	None
CLVS2	0	1	1	0	None
CRABP1	0	0	1	1	None
CRABP2	0	None	1	1	None
FABP1	0	0	1	1	None
FABP2	0	0	1	1	None
FABP3	0	0	1	1	None
FABP4	0	0	1	1	None
FABP5	0	0	1	1	None
FABP6	0	0	1	1	None
FABP7	0	0	1	1	0
FAPP2	1	1	0	0	0
GLTP	0	0	1	1	0
GLTPD1	0	0	1	1	0
GM2A	0	0	1	1	0
HSDL2	1	0	0	0	0
LCN1	0	0	1	1	None
LCN15	0	0	1	1	0
OBP2A	0	0	1	1	None
ORM1	0	1	1	0	0
ORM2	0	1	1	0	None
ORP1	1	0	0	0	None
ORP2	0	1	1	0	None
ORP4	1	0	0	0	None
ORP9	1	1	0	0	0
OSBP	1	1	0	0	None
PITPNA	0	0	1	1	0
PITPNB	0	0	1	1	0
PMP2	0	0	1	1	None
PTGDS	0	0	1	1	0
PTPN9	0	1	1	0	None
RBP1	0	0	1	1	0
RBP2	0	0	1	1	None
RBP4	0	0	1	1	None
RBP5	0	0	1	1	0
RBP7	0	0	1	1	0
RLBP1	0	1	1	0	None
SCP2	0	1	1	0	0
SEC14L1	1	0	0	0	None
SEC14L2	0	1	1	0	None
SEC14L4	0	1	1	0	0
SEC14L5	1	1	0	0	None
SEC14L6	1	1	0	0	None
SOLO	1	0	0	0	None
STARD10	0	1	1	0	None
STARD11	1	1	0	0	None
STARD14	1	1	0	0	None
STARD15	1	0	0	0	None
STARD2	0	0	1	1	None
STARD5	0	0	1	1	None
TTPA	0	1	1	0	None
TTPAL	0	1	1	0	None
