Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,gltpd1_a11_pos m/z,gltpd1_a11_pos RT mean,gltpd1_a11_pos Normalized Area,gltpd1_a12_pos m/z,gltpd1_a12_pos RT mean,gltpd1_a12_pos Normalized Area,gltpd1_a09_pos m/z,gltpd1_a09_pos RT mean,gltpd1_a09_pos Normalized Area,gltpd1_a10_pos m/z,gltpd1_a10_pos RT mean,gltpd1_a10_pos Normalized Area,gltpd1_b01_pos m/z,gltpd1_b01_pos RT mean,gltpd1_b01_pos Normalized Area,ctrl_sec_buffer_gltpd1_pos m/z,ctrl_sec_buffer_gltpd1_pos RT mean,ctrl_sec_buffer_gltpd1_pos Normalized Area,Sample Profile (Ratio),gltpd1_pos Normalized Area,ctrl_gltpd1_pos Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.98,60.00,703.5845,8.36 - 9.02,1,3.7E6,703.5844,8.74,1.08E7,703.5840,8.80,9.7E6,703.5849,8.79,5.17E5,703.5851,8.76,5.15E5,703.5841,8.80,5.59E5,703.5845,8.80,1.81E5,20.92:18.84:1.01:1.00:1.09:0.35,1.02E7,4.43E5,23.11:1.00,8.78,,
,1.67,44.13,452.2921,5.23 - 6.04,1,8E6,452.2925,5.93,3.15E6,452.2921,5.92,1.39E6,452.2921,5.92,2.49E6,452.2921,5.91,2.57E7,452.2919,5.94,3.62E6,452.2921,5.95,1.18E7,0.12:0.05:0.10:1.00:0.14:0.46,2.27E6,1.09E7,0.21:1.00,5.93,,
,0.84,38.04,466.3347,0.84 - 1.20,1,2.4E5,-,-,0,466.3347,0.86,7.8E4,466.3349,0.86,4.3E5,466.3345,0.86,9.74E4,466.3345,0.87,4.88E5,466.3347,0.87,3.46E5,0:0.80:4.41:1.00:5.01:3.55,3.9E4,3.4E5,0.11:1.00,0.86,,
,0.88,32.77,906.8625,16.69 - 16.96,1,5.8E5,906.8638,16.78,1.07E5,906.8625,16.83,3.12E5,906.8629,16.84,5.31E5,906.8613,16.77,1.12E6,906.8628,16.82,3.16E5,906.8616,16.84,1.09E6,0.10:0.28:0.48:1.00:0.28:0.97,2.09E5,7.63E5,0.27:1.00,16.81,,
,1.35,31.73,429.2159,5.19 - 6.03,1,2.3E6,429.2158,5.93,9E5,429.2159,5.92,4.03E5,429.2159,5.92,7.47E5,429.2160,5.91,6.69E6,429.2158,5.94,1E6,429.2160,5.95,3.87E6,0.13:0.06:0.11:1.00:0.15:0.58,6.51E5,3.08E6,0.21:1.00,5.93,,
,1.08,31.47,349.1878,0.84 - 0.95,1,1.4E6,349.1880,0.86,7.27E5,349.1877,0.88,2.24E5,349.1877,0.88,5.19E6,349.1879,0.86,6.14E5,349.1880,0.88,1.07E6,349.1877,0.88,4.4E5,1.18:0.36:8.45:1.00:1.75:0.72,4.75E5,1.83E6,0.26:1.00,0.88,,
,0.85,31.03,480.3207,5.23 - 6.03,1,9.4E5,480.3210,5.93,3.66E5,480.3205,5.92,1.53E5,480.3210,5.92,2.78E5,480.3206,5.91,3.08E6,480.3203,5.94,3.91E5,480.3206,5.95,1.38E6,0.12:0.05:0.09:1.00:0.13:0.45,2.59E5,1.28E6,0.20:1.00,5.93,,
,0.85,30.61,393.2144,0.84 - 0.95,1,1.6E6,393.2140,0.86,6.94E5,393.2142,0.88,1.52E5,393.2148,0.88,6.56E6,393.2142,0.86,5.53E5,393.2146,0.88,1.15E6,393.2147,0.89,3.57E5,1.26:0.27:11.88:1.00:2.09:0.65,4.23E5,2.16E6,0.20:1.00,0.88,,
,0.87,29.03,360.3154,0.95 - 4.81,1,1.1E6,360.3149,1.34,3.54E6,360.3156,1.33,7.36E5,360.3156,1.35,3.09E5,360.3157,1.36,5.82E5,360.3154,1.33,6.78E5,360.3155,1.36,7.88E5,6.09:1.27:0.53:1.00:1.17:1.36,2.14E6,5.89E5,3.63:1.00,1.35,,
,0.70,28.59,787.6771,12.62 - 13.18,1,8.9E5,787.6768,12.85,2.85E6,787.6771,12.92,2.41E6,-,-,0,-,-,0,787.6776,12.92,6.7E4,-,-,0,1.00:0.85:0:0:0.02:0,2.63E6,1.67E4,156.99:1.00,12.89,,
