Domain name	Gene name	Name	Binding	PMID (Binding)	Lipid class	Classes standard abbrev.
OSBP	OSBP (OSBP1)	OSBP	25-hydroxycholesterol	17428193	Sterol lipids	HCH
		OSBP	photo-25-hydroxycholesterol	17428193	Sterol lipids	PHCH
		OSBP	PI(4)P	24209621	Glycerophospholipids	PI
		OSBP	Dehydroergosterol	24209621	Sterol lipids	ES
OSBP	OSBPL1A (ORP1)	ORP1	25-hydroxycholesterol	17428193	Sterol lipids	HCH
		ORP1	photo-cholesterol	17428193	Sterol lipids	PCH
OSBP	OSBPL2 (ORP2)	ORP2	25-hydroxycholesterol	17428193	Sterol lipids	HCH
		ORP2	22(R)-hydroxycholesterol	19224871	Sterol lipids	HCH
		ORP2	7-ketocholesterol	19224871	Sterol lipids	KCH
		ORP2	Cholesterol	19224871	Sterol lipids	CH
OSBP	OSBPL3 (ORP3)	ORP3	photo-25-hydroxycholesterol	17428193	Sterol lipids	PHCH
		ORP3	photo-cholesterol	17428193	Sterol lipids	PCH
OSBP	OSBP2 (ORP4)	ORP4	7-ketocholesterol	11278871	Sterol lipids	KCH
		ORP4	photo-25-hydroxycholesterol	17428193	Sterol lipids	PHCH
OSBP	OSBPL5 (ORP5)	ORP5	photo-25-hydroxycholesterol	17428193	Sterol lipids	PHCH
		ORP5	photo-cholesterol	17428193	Sterol lipids	PCH
		ORP5	Dehydroergosterol	21220512	Sterol lipids	DES
		ORP5	PS	23934110	Glycerohospholipids	PS
OSBP	OSBPL6 (ORP6)	ORP6	photo-25-hydroxycholesterol	17428193	Sterol lipids	PHCH
OSBP	OSBPL7 (ORP7)	ORP7	photo-25-hydroxycholesterol	17428193	Sterol lipids	PHCH
OSBP	OSBPL8 (ORP8)	ORP8	photo-25-hydroxycholesterol	17991739	Sterol lipids	PHCH
		ORP8	photo-cholesterol	17428193	Sterol lipids	PCH
OSBP	OSBPL9 (ORP9)	ORP9	PI(4)P	25255026	Glycerohospholipids	PI
		ORP9	Cholestatrienol	25255026	Sterol lipids	CHT
		ORP9	Dehydroergosterol	25255026	Sterol lipids	DES
OSBP	OSBPL10 (ORP10)	ORP10	photo-25-hydroxycholesterol	17428193	Sterol lipids	PHCH
		ORP10	PS	23934110	Glycerohospholipids	PS
OSBP	OSBPL11 (ORP11)	ORP11	photo-25-hydroxycholesterol	17428193	Sterol lipids	PHCH
		ORP11	photo-cholesterol	17428193	Sterol lipids	PCH
STAR	STAR (STARD1)	STARD1	Cholesterol	9756854	Sterol lipids	CH
		STARD1	Cholesterol	10802740	Sterol lipids	CH
		STARD1	Cholesterol	18403318	Sterol lipids	CH
		STARD1	Cholesterol	18211099	Sterol lipids	CH
STAR	PCTP (STARD2)	STARD2	PC	12055623	Glycerophospholipids	PC
		STARD2	PC	1168494	Glycerophospholipids	PC
		STARD2	PC	6250569	Glycerophospholipids	PC
STAR	STARD3 (MLN64)	STARD3	Cholesterol	19965586	Sterol lipids	CH
		STARD3	Cholesterol	10802740	Sterol lipids	CH
		STARD3	Cholesterol	18211099	Sterol lipids	CH
		STARD3	Cholesterol	12070139	Sterol lipids	CH
STAR	STARD4	STARD4	Cholesterol	18403318	Sterol lipids	CH
STAR	STARD5	STARD5	Cholesterol	15897605	Sterol lipids	CH
		STARD5	Cholesterol	10802740	Sterol lipids	CH
		STARD5	Cholesterol	18211099	Sterol lipids	CH
		STARD5	25-hydroxylcholesterol	15897605	Sterol lipids	HCH
		STARD5	Chenodeoxycholic acid	23018617	Sterol lipids	CCA
		STARD5	Cholic acid	23018617	Sterol lipids	CA
STAR	STARD6	STARD6	Cholesterol	18211099	Sterol lipids	CH
STAR	STARD7 (GTT1)	STARD7	PC	20042613	Glycerophospholipids	PC
STAR	STARD8 (DLC3)	STARD8	ND			ND
STAR	STARD9	STARD9	ND			ND
STAR	STARD10 (PCTP-like)	STARD10	PC	15911624	Glycerophospholipids	PC
		STARD10	PE	15911624	Glycerophospholipids	PE
STAR	COL4A3BP (STARD11) (CERT isoform 2)	STARD11	Ceramide	14685229	Sphingolipids	Cer
		STARD11	Ceramide	18184806	Sphingolipids	Cer
STAR	DLC1 (STARD12)	STARD12	ND			ND
STAR	STARD13 (DLC2)	STARD13	ND			ND
STAR	ACOT11 (STARD14)	STARD14	ND			ND
STAR	ACOT12 (STARD15)	STARD15	ND			ND
NPC1 N-terminal	NPC1	NPC1	Cholesterol	19563754	Sterol lipids	CH
		NPC1	Cholesterol	9927649	Sterol lipids	CH
		NPC1	25-hydroxylcholesterol	19563754	Sterol lipids	HCH
		NPC1	25-hydroxylcholesterol	17989073	Sterol lipids	HCH
NPC1 N-terminal	NPC1L1	NPC1L1	Cholesterol	16407187	Sterol lipids	CH
E1_DerP2_DerF2	NPC2	NPC2	Dehydroergosterol	12591954	Sterol lipids	DES
		NPC2	Cholesterol	12591949	Sterol lipids	CH
		NPC2	Cholesterol	10366780	Sterol lipids	CH
		NPC2	Cholesterol-3-O-sulfate	17573352	Sterol lipids	CHS
